Session Name,Age,Gender,Weight (kg),Height (cm),Are you a professional or semi-professional athlete?,How often do you exercise a week?,How many hours in total do you exercise during a week?,What kind of sports do you usually do?,Do you have any expertise in running?,How many times do you run during a week?,"How many kilometers on average do you run in total each week? (in km, a rough estimate would be fine)
","What is the longest distance you ran (in km)? (If you don't know, please put N.A..)","And how long did your longest distance take (in minutes)? (If you don't know, please put N.A..)"
 j1784n_6_0_clip_1,28.0,Female,44.0,155,No,3-5 times a week,> 5 hours,Running,Yes,3-5 times a week,45 km,32 km,200 minutes
 j1784n_9_0_clip_1,28.0,Female,44.0,155,No,3-5 times a week,> 5 hours,Running,Yes,3-5 times a week,45 km,32 km,200 minutes
 j1784n_9_1_clip_1,28.0,Female,44.0,155,No,3-5 times a week,> 5 hours,Running,Yes,3-5 times a week,45 km,32 km,200 minutes
 j1784n_9_2_clip_1,28.0,Female,44.0,155,No,3-5 times a week,> 5 hours,Running,Yes,3-5 times a week,45 km,32 km,200 minutes
 j1784n_9_3_clip_1,28.0,Female,44.0,155,No,3-5 times a week,> 5 hours,Running,Yes,3-5 times a week,45 km,32 km,200 minutes
 z1785p_10_0_clip_1,24.0,Male,73.0,180,No,3-5 times a week,> 5 hours,Run and workout ,No,3-5 times a week,40,15,92
 z1785p_6_0_clip_1,24.0,Male,73.0,180,No,3-5 times a week,> 5 hours,Run and workout ,No,3-5 times a week,40,15,92
 z1785p_7_0_clip_1,24.0,Male,73.0,180,No,3-5 times a week,> 5 hours,Run and workout ,No,3-5 times a week,40,15,92
 z1785p_9_0_clip_1,24.0,Male,73.0,180,No,3-5 times a week,> 5 hours,Run and workout ,No,3-5 times a week,40,15,92
 c1786f_6_0_clip_1,33.0,Female,48.0,155,No,3-5 times a week,< 1 hour,biking hiking,No,< once a week,,,
 j1787l_6_0_clip_1,24.0,Male,79.0,175,No,3-5 times a week,3-4 hours,Lifting,Yes,< once a week,1 km,16 km,1 hour 30 minutes
 z1790x_5_0_clip_1,24.0,Female,52.0,163,No,1-2 times a week,< 1 hour,Hiit,No,1-2 times a week,5km,3km,30min
 z1790x_6_0_clip_1,24.0,Female,52.0,163,No,1-2 times a week,< 1 hour,Hiit,No,1-2 times a week,5km,3km,30min
 z1790x_7_0_clip_1,24.0,Female,52.0,163,No,1-2 times a week,< 1 hour,Hiit,No,1-2 times a week,5km,3km,30min
 c1791c_5_0_clip_1,23.0,Female,62.0,161,No,1-2 times a week,1-2 hours,Cycling,No,< once a week,3,N.A..,N.A..
