,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
7436,1707245187.8,3.479774475097656,,0.0
7437,1707245187.85,3.54620361328125,,0.04999995231628418
7438,1707245187.9,3.5589752197265625,,0.10000014305114746
7439,1707245187.95,3.5589752197265625,,0.15000009536743164
7440,1707245188.0,3.5129852294921875,,0.20000004768371582
7441,1707245188.05,3.4593353271484375,,0.25
7442,1707245188.1,3.4516677856445312,,0.2999999523162842
7443,1707245188.15,3.50787353515625,,0.35000014305114746
7444,1707245188.2,3.5615310668945312,,0.40000009536743164
7445,1707245188.25,3.5691986083984375,,0.4500000476837158
7446,1707245188.3,3.5973052978515625,,0.5
7447,1707245188.35,3.63818359375,,0.5499999523162842
7448,1707245188.4,3.6765060424804688,,0.6000001430511475
7449,1707245188.45,3.699501037597656,,0.6500000953674316
7450,1707245188.5,3.73016357421875,,0.7000000476837158
7451,1707245188.55,3.7403793334960938,,0.75
7452,1707245188.6,3.758270263671875,,0.7999999523162842
7453,1707245188.65,3.776153564453125,,0.8500001430511475
7454,1707245188.7,3.799148559570313,,0.9000000953674316
7455,1707245188.75,3.811920166015625,,0.9500000476837158
7456,1707245188.8,3.832359313964844,,1.0
7457,1707245188.85,3.7633743286132817,,1.0499999523162842
7458,1707245188.9,3.47210693359375,,1.1000001430511475
7459,1707245188.95,3.3775711059570312,,1.1500000953674316
7460,1707245189.0,3.5257644653320312,,1.2000000476837158
7461,1707245189.05,3.615188598632813,,1.25
7462,1707245189.1,3.666290283203125,,1.2999999523162842
7463,1707245189.15,3.6816177368164062,,1.3500001430511475
7464,1707245189.2,3.725051879882813,,1.4000000953674316
7465,1707245189.25,3.748046875,,1.4500000476837158
7466,1707245189.3,3.768486022949219,,1.5
7467,1707245189.35,3.799148559570313,,1.5499999523162842
7468,1707245189.4,3.84002685546875,,1.6000001430511475
7469,1707245189.45,3.832359313964844,,1.6500000953674316
7470,1707245189.5,3.8272552490234375,,1.7000000476837158
7471,1707245189.55,3.845138549804687,,1.75
7472,1707245189.6,3.8221435546875,,1.7999999523162842
7473,1707245189.65,3.7838134765625,,1.8500001430511475
7474,1707245189.7,3.806808471679687,,1.9000000953674316
7475,1707245189.75,3.84002685546875,,1.9500000476837158
7476,1707245189.8,3.748046875,,2.0
7477,1707245189.85,3.648399353027344,,2.049999952316284
7478,1707245189.9,3.5334243774414062,,2.1000001430511475
7479,1707245189.95,3.441444396972656,,2.1500000953674316
7480,1707245190.0,3.280479431152344,,2.200000047683716
7481,1707245190.05,3.2038345336914062,,2.25
7482,1707245190.1,3.147621154785156,,2.299999952316284
7483,1707245190.15,3.1067428588867188,,2.3500001430511475
7484,1707245190.2,3.0556411743164062,,2.4000000953674316
7485,1707245190.25,3.0811920166015625,,2.450000047683716
7486,1707245190.3,3.2166061401367188,,2.5
7487,1707245190.35,3.3111419677734375,,2.549999952316284
7488,1707245190.4,3.4107894897460938,,2.6000001430511475
7489,1707245190.45,3.482330322265625,,2.6500000953674316
7490,1707245190.5,3.6713943481445312,,2.700000047683716
7491,1707245190.55,3.8195877075195312,,2.75
7492,1707245190.6,3.9320068359375,,2.799999952316284
7493,1707245190.65,3.9115676879882817,,2.8500001430511475
7494,1707245190.7,3.73016357421875,,2.9000000953674316
7495,1707245190.75,3.622848510742187,,2.950000047683716
7496,1707245190.8,3.6330718994140625,,3.0
7497,1707245190.85,3.6765060424804688,,3.049999952316284
7498,1707245190.9,3.727607727050781,,3.1000001430511475
7499,1707245190.95,3.758270263671875,,3.1500000953674316
7500,1707245191.0,3.7531585693359375,,3.200000047683716
7501,1707245191.05,3.725051879882813,,3.25
7502,1707245191.1,3.7787094116210938,,3.299999952316284
7503,1707245191.15,3.8527984619140625,,3.3500001430511475
7504,1707245191.2,3.896240234375,,3.4000000953674316
7505,1707245191.25,3.8911285400390625,,3.450000047683716
7506,1707245191.3,3.8987884521484375,,3.5
7507,1707245191.35,3.8911285400390625,,3.549999952316284
7508,1707245191.4,3.837471008300781,,3.6000001430511475
7509,1707245191.45,3.837471008300781,,3.6500000953674316
7510,1707245191.5,3.883460998535156,,3.700000047683716
7511,1707245191.55,3.873245239257813,,3.75
7512,1707245191.6,3.8246994018554688,,3.799999952316284
7513,1707245191.65,3.8246994018554688,,3.8500001430511475
7514,1707245191.7,3.850250244140625,,3.9000000953674316
7515,1707245191.75,3.8195877075195312,,3.950000047683716
7516,1707245191.8,3.7787094116210938,,4.0
7517,1707245191.85,3.809364318847656,,4.049999952316284
7518,1707245191.9,3.87579345703125,,4.1000001430511475
7519,1707245191.95,3.880905151367187,,4.150000095367432
7520,1707245192.0,3.8655776977539062,,4.200000047683716
7521,1707245192.05,3.845138549804687,,4.25
7522,1707245192.1,3.758270263671875,,4.299999952316284
7523,1707245192.15,3.7148284912109375,,4.3500001430511475
7524,1707245192.2,3.7173843383789062,,4.400000095367432
7525,1707245192.25,3.725051879882813,,4.450000047683716
7526,1707245192.3,3.7327194213867183,,4.5
7527,1707245192.35,3.7148284912109375,,4.549999952316284
7528,1707245192.4,3.592193603515625,,4.6000001430511475
7529,1707245192.45,3.4593353271484375,,4.650000095367432
7530,1707245192.5,3.2907028198242188,,4.700000047683716
7531,1707245192.55,3.244712829589844,,4.75
7532,1707245192.6,3.21405029296875,,4.799999952316284
7533,1707245192.65,3.1757278442382812,,4.8500001430511475
7534,1707245192.7,3.0990753173828125,,4.900000095367432
7535,1707245192.75,3.0811920166015625,,4.950000047683716
7536,1707245192.8,3.1450653076171875,,5.0
7537,1707245192.85,3.2268295288085938,,5.049999952316284
7538,1707245192.9,3.3571319580078125,,5.1000001430511475
7539,1707245192.95,3.4184494018554688,,5.150000095367432
7540,1707245193.0,3.5334243774414062,,5.200000047683716
7541,1707245193.05,3.612632751464844,,5.25
7542,1707245193.1,3.610076904296875,,5.299999952316284
7543,1707245193.15,3.482330322265625,,5.3500001430511475
7544,1707245193.2,3.260040283203125,,5.400000095367432
7545,1707245193.25,3.2498245239257812,,5.450000047683716
7546,1707245193.3,3.3750152587890625,,5.5
7547,1707245193.35,3.4235610961914062,,5.549999952316284
7548,1707245193.4,3.4925460815429688,,5.6000001430511475
7549,1707245193.45,3.599853515625,,5.650000095367432
7550,1707245193.5,3.7046127319335938,,5.700000047683716
7551,1707245193.55,3.7097244262695312,,5.75
7552,1707245193.6,3.7863693237304688,,5.799999952316284
7553,1707245193.65,3.868133544921875,,5.8500001430511475
7554,1707245193.7,3.919235229492187,,5.900000095367432
7555,1707245193.75,3.9294509887695312,,5.950000047683716
7556,1707245193.8,3.947334289550781,,6.0
7557,1707245193.85,3.9320068359375,,6.049999952316284
7558,1707245193.9,3.909011840820313,,6.1000001430511475
7559,1707245193.95,3.942230224609375,,6.150000095367432
7560,1707245194.0,3.990768432617187,,6.200000047683716
7561,1707245194.05,3.980552673339844,,6.25
7562,1707245194.1,3.9728851318359375,,6.299999952316284
7563,1707245194.15,3.983108520507813,,6.3500001430511475
7564,1707245194.2,3.9320068359375,,6.400000095367432
7565,1707245194.25,3.883460998535156,,6.450000047683716
7566,1707245194.3,3.878349304199219,,6.5
7567,1707245194.35,3.8885726928710938,,6.549999952316284
7568,1707245194.4,3.878349304199219,,6.6000001430511475
7569,1707245194.45,3.87579345703125,,6.650000095367432
7570,1707245194.5,3.8885726928710938,,6.700000047683716
7571,1707245194.55,3.8655776977539062,,6.75
7572,1707245194.6,3.735275268554687,,6.799999952316284
7573,1707245194.65,3.592193603515625,,6.8500001430511475
7574,1707245194.7,3.3418045043945312,,6.900000095367432
7575,1707245194.75,3.185943603515625,,6.950000047683716
7576,1707245194.8,3.0709686279296875,,7.0
7577,1707245194.85,3.0914154052734375,,7.049999952316284
7578,1707245194.9,3.1961669921875,,7.1000001430511475
7579,1707245194.95,3.2677078247070312,,7.150000095367432
7580,1707245195.0,3.3647994995117188,,7.200000047683716
7581,1707245195.05,3.408233642578125,,7.25
7582,1707245195.1,3.4516677856445312,,7.299999952316284
7583,1707245195.15,3.482330322265625,,7.3500001430511475
7584,1707245195.2,3.5257644653320312,,7.400000095367432
7585,1707245195.25,3.518096923828125,,7.450000047683716
7586,1707245195.3,3.441444396972656,,7.5
7587,1707245195.35,3.4312286376953125,,7.549999952316284
7588,1707245195.4,3.4951019287109375,,7.6000001430511475
7589,1707245195.45,3.515541076660156,,7.650000095367432
7590,1707245195.5,3.5129852294921875,,7.700000047683716
7591,1707245195.55,3.4976577758789062,,7.75
7592,1707245195.6,3.461883544921875,,7.799999952316284
7593,1707245195.65,3.426116943359375,,7.8500001430511475
7594,1707245195.7,3.3775711059570312,,7.900000095367432
7595,1707245195.75,3.3469085693359375,,7.950000047683716
7596,1707245195.8,3.2677078247070312,,8.0
7597,1707245195.85,3.2038345336914062,,8.049999952316284
7598,1707245195.9,3.111854553222656,,8.100000143051147
