,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
11368,1707345412.4,2.3887863159179688,,0.0
11369,1707345412.45,2.1997146606445312,,0.04999995231628418
11370,1707345412.5,2.1792755126953125,,0.09999990463256836
11371,1707345412.55,2.1639480590820312,,0.14999985694885254
11372,1707345412.6,2.0975189208984375,,0.19999980926513672
11373,1707345412.65,1.9391098022460935,,0.25
11374,1707345412.7,1.8394622802734375,,0.2999999523162842
11375,1707345412.75,1.7117156982421875,,0.34999990463256836
11376,1707345412.8,1.6401748657226562,,0.39999985694885254
11377,1707345412.85,1.5941848754882812,,0.4499998092651367
11378,1707345412.9,1.59674072265625,,0.5
11379,1707345412.95,1.5992889404296875,,0.5499999523162842
11380,1707345413.0,1.63250732421875,,0.5999999046325684
11381,1707345413.05,1.880340576171875,,0.6499998569488525
11382,1707345413.1,2.153724670410156,,0.6999998092651367
11383,1707345413.15,2.5012054443359375,,0.75
11384,1707345413.2,2.6851654052734375,,0.7999999523162842
11385,1707345413.25,2.910003662109375,,0.8499999046325684
11386,1707345413.3,3.0198745727539062,,0.8999998569488525
11387,1707345413.35,3.170616149902344,,0.9499998092651367
11388,1707345413.4,3.2932586669921875,,1.0
11389,1707345413.45,3.4337844848632812,,1.0499999523162842
11390,1707345413.5,3.4491119384765625,,1.0999999046325684
11391,1707345413.55,3.4107894897460938,,1.1499998569488525
11392,1707345413.6,3.36224365234375,,1.1999998092651367
11393,1707345413.65,3.23193359375,,1.25
11394,1707345413.7,3.10418701171875,,1.2999999523162842
11395,1707345413.75,2.910003662109375,,1.3499999046325684
11396,1707345413.8,2.7567062377929688,,1.3999998569488525
11397,1707345413.85,2.3351287841796875,,1.4499998092651367
11398,1707345413.9,2.056640625,,1.5
11399,1707345413.95,1.9621047973632812,,1.5499999523162842
11400,1707345414.0,1.956993103027344,41.81184768676758,1.5999999046325684
11401,1707345414.05,1.8190231323242188,,1.6499998569488525
11402,1707345414.1,1.847129821777344,,1.6999998092651367
11403,1707345414.15,2.082183837890625,,1.75
11404,1707345414.2,2.1792755126953125,,1.7999999523162842
11405,1707345414.25,2.192054748535156,,1.8499999046325684
11406,1707345414.3,2.2022705078125,,1.8999998569488525
11407,1707345414.35,2.266143798828125,,1.9499998092651367
11408,1707345414.4,2.3172454833984375,,2.0
11409,1707345414.45,2.4194488525390625,,2.049999952316284
11410,1707345414.5,2.508872985839844,,2.0999999046325684
11411,1707345414.55,2.616180419921875,,2.1499998569488525
11412,1707345414.6,2.6468429565429688,,2.1999998092651367
11413,1707345414.65,2.7209396362304688,,2.25
11414,1707345414.7,2.7848129272460938,,2.299999952316284
11415,1707345414.75,2.856353759765625,,2.3499999046325684
11416,1707345414.8,2.8946762084960938,,2.3999998569488525
11417,1707345414.85,2.930450439453125,,2.4499998092651367
11418,1707345414.9,2.95599365234375,,2.5
11419,1707345414.95,2.9764404296875,,2.549999952316284
11420,1707345415.0,2.9764404296875,,2.5999999046325684
11421,1707345415.05,2.9764404296875,,2.6499998569488525
11422,1707345415.1,2.9713287353515625,,2.6999998092651367
11423,1707345415.15,2.9611053466796875,,2.75
11424,1707345415.2,2.9432220458984375,,2.799999952316284
11425,1707345415.25,2.9253387451171875,,2.8499999046325684
11426,1707345415.3,2.9227828979492188,,2.8999998569488525
11427,1707345415.35,2.876792907714844,,2.9499998092651367
11428,1707345415.4,2.8308029174804688,,3.0
11429,1707345415.45,2.7873687744140625,,3.049999952316284
11430,1707345415.5,2.77203369140625,,3.0999999046325684
11431,1707345415.55,2.7515945434570312,,3.1499998569488525
11432,1707345415.6,2.7388229370117188,,3.1999998092651367
11433,1707345415.65,2.7158279418945312,,3.25
11434,1707345415.7,2.7030487060546875,,3.299999952316284
11435,1707345415.75,2.7209396362304688,,3.3499999046325684
11436,1707345415.8,2.7413787841796875,,3.3999998569488525
11437,1707345415.85,2.7515945434570312,,3.4499998092651367
11438,1707345415.9,2.7209396362304688,,3.5
11439,1707345415.95,2.598297119140625,,3.549999952316284
11440,1707345416.0,2.49609375,,3.5999999046325684
