Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1719609489.0,6.259613037109375,,0.0
1719609489.1,7.181968688964844,,0.1
1719609489.2,8.464576721191406,,0.2
1719609489.3,9.634765625,,0.3
1719609489.4,10.339950561523438,,0.4
1719609489.5,10.661880493164062,,0.5
1719609489.6,10.856056213378906,,0.6
1719609489.7,11.119224548339844,,0.7
1719609489.8,11.318511962890623,,0.8
1719609489.9,10.932708740234377,,0.9
1719609490.0,10.672096252441406,,1.0
1719609490.1,10.7027587890625,,1.1
1719609490.2,10.099777221679688,,1.2
1719609490.3,9.24640655517578,,1.3
1719609490.4,8.58721923828125,,1.4
1719609490.5,7.825828552246095,,1.5
1719609490.6,6.872810363769531,,1.6
1719609490.7,5.978561401367188,,1.7
1719609490.8,5.38580322265625,,1.8
1719609490.9,5.173736572265625,,1.9
1719609491.0,5.066429138183594,17.14285659790039,2.0
1719609491.1,4.900352478027344,,2.1
1719609491.2,4.826255798339844,,2.2
1719609491.3,5.025550842285156,,2.3
1719609491.4,5.439460754394531,,2.4
1719609491.5,5.86358642578125,,2.5
1719609491.6,6.19318389892578,,2.6
1719609491.7,6.640304565429688,,2.7
1719609491.8,7.266281127929688,,2.8
1719609491.9,7.90247344970703,,2.9
1719609492.0,8.428810119628906,,3.0
1719609492.1,8.819725036621094,,3.1
1719609492.2,8.95513916015625,,3.2
1719609492.3,8.518234252929688,,3.3
1719609492.4,7.9791259765625,,3.4
1719609492.5,7.473236083984375,,3.5
1719609492.6,6.7782745361328125,,3.6
1719609492.7,6.142082214355469,,3.7
1719609492.8,5.587646484375,,3.8
1719609492.9,5.135414123535156,,3.9
1719609493.0,4.7777099609375,,4.0
1719609493.1,4.532432556152344,,4.1
1719609493.2,4.31525421142578,,4.2
1719609493.3,4.0929718017578125,,4.3
1719609493.4,3.9013442993164062,,4.4
1719609493.5,3.9371185302734375,,4.5
1719609493.6,4.4889984130859375,,4.6
1719609493.7,5.1609649658203125,,4.7
1719609493.8,5.4547882080078125,,4.8
1719609493.9,5.559539794921875,,4.9
1719609494.0,5.784385681152344,,5.0
1719609494.1,6.23150634765625,,5.1
1719609494.2,6.89324951171875,,5.2
1719609494.3,7.46302032470703,,5.3
1719609494.4,7.802833557128905,,5.4
1719609494.5,8.05322265625,,5.5
1719609494.6,8.012344360351562,,5.6
1719609494.7,7.59332275390625,,5.7
1719609494.8,7.345489501953125,,5.8
1719609494.9,7.33526611328125,,5.9
1719609495.0,7.056770324707031,,6.0
1719609495.1,6.497230529785156,,6.1
1719609495.2,5.8968048095703125,,6.2
1719609495.3,5.442008972167969,,6.3
1719609495.4,5.173736572265625,,6.4
1719609495.5,4.989776611328125,,6.5
1719609495.6,4.859474182128906,,6.6
1719609495.7,4.772605895996094,,6.7
1719609495.8,4.72150421142578,,6.8
