Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1719169091.25,7.015892028808594,,0.0
1719169091.3,6.89324951171875,,0.05
1719169091.35,6.903472900390625,,0.1
1719169091.4,7.054214477539063,,0.15
1719169091.45,7.14875030517578,,0.2
1719169091.5,7.125755310058594,,0.25
1719169091.55,7.028663635253906,,0.3
1719169091.6,6.918800354003906,,0.35
1719169091.65,6.877922058105469,,0.4
1719169091.7,6.798713684082031,,0.45
1719169091.75,6.7425079345703125,,0.5
1719169091.8,6.642860412597656,,0.55
1719169091.85,6.596870422363281,,0.6
1719169091.9,6.596870422363281,,0.65
1719169091.95,6.604537963867188,,0.7
1719169092.0,6.6326446533203125,,0.75
1719169092.05,6.693962097167969,,0.8
1719169092.1,6.808937072753906,,0.85
1719169092.15,6.885589599609375,,0.9
1719169092.2,7.082321166992188,,0.95
1719169092.25,7.307159423828125,,1.0
1719169092.3,7.731292724609375,,1.05
1719169092.35,7.943359375,,1.1
1719169092.4,7.915252685546875,,1.15
1719169092.45,7.784950256347656,,1.2
1719169092.5,7.662307739257812,,1.25
1719169092.55,7.618873596191406,,1.3
1719169092.6,7.590766906738281,,1.35
1719169092.65,7.552444458007812,,1.4
1719169092.7,7.358261108398437,,1.45
1719169092.75,7.199851989746094,,1.5
1719169092.8,7.07976531982422,,1.55
1719169092.85,7.0644378662109375,,1.6
1719169092.9,7.074653625488281,,1.65
1719169092.95,7.051658630371094,,1.7
1719169093.0,6.96734619140625,,1.75
1719169093.05,6.9622344970703125,,1.8
1719169093.1,7.043998718261719,,1.85
1719169093.15,7.107872009277344,,1.9
1719169093.2,7.1461944580078125,,1.95
1719169093.25,7.135978698730469,,2.0
1719169093.3,7.179412841796875,,2.05
1719169093.35,7.240730285644531,,2.1
1719169093.4,7.291831970214843,,2.15
1719169093.45,7.256065368652344,,2.2
1719169093.5,7.097648620605469,,2.25
1719169093.55,6.977569580078125,,2.3
1719169093.6,6.923912048339844,,2.35
1719169093.65,6.957130432128906,,2.4
1719169093.7,6.913688659667969,,2.45
1719169093.75,6.785942077636719,,2.5
1719169093.8,6.5943145751953125,,2.55
1719169093.85,6.535552978515625,,2.6
1719169093.9,6.532997131347656,,2.65
1719169093.95,6.550880432128906,,2.7
1719169094.0,6.532997131347656,,2.75
1719169094.05,6.49211883544922,,2.8
1719169094.1,6.418022155761719,,2.85
1719169094.15,6.366920471191406,,2.9
1719169094.2,6.326042175292969,,2.95
1719169094.25,6.3004913330078125,,3.0
1719169094.3,6.292823791503906,,3.05
1719169094.35,6.338813781738281,,3.1
1719169094.4,6.3975830078125,,3.15
1719169094.45,6.389915466308594,,3.2
1719169094.5,6.354148864746094,,3.25
1719169094.55,6.318374633789063,,3.3
1719169094.6,6.259613037109375,,3.35
1719169094.65,6.38225555419922,,3.4
1719169094.7,6.724624633789063,,3.45
1719169094.75,6.847259521484375,,3.5
1719169094.8,6.96734619140625,,3.55
1719169094.85,7.105316162109375,,3.6
1719169094.9,7.309715270996095,,3.65
1719169094.95,7.233070373535157,,3.7
1719169095.0,6.883033752441406,8.256880760192871,3.75
1719169095.05,6.842155456542969,,3.8
1719169095.1,7.082321166992188,,3.85
1719169095.15,7.1334228515625,,3.9
1719169095.2,6.831932067871094,,3.95
1719169095.25,6.614753723144531,,4.0
1719169095.3,6.653083801269531,,4.05
1719169095.35,6.803825378417969,,4.1
1719169095.4,6.987785339355469,,4.15
1719169095.45,7.082321166992188,,4.2
1719169095.5,7.215179443359375,,4.25
1719169095.55,7.250953674316406,,4.3
1719169095.6,7.197296142578125,,4.35
1719169095.65,7.20751953125,,4.4
1719169095.7,7.215179443359375,,4.45
1719169095.75,7.105316162109375,,4.5
1719169095.8,7.026115417480469,,4.55
1719169095.85,7.22795867919922,,4.6
1719169095.9,7.718513488769531,,4.65
1719169095.95,7.90758514404297,,4.7
1719169096.0,7.8181610107421875,,4.75
1719169096.05,7.588211059570312,,4.8
1719169096.1,7.302055358886719,,4.85
1719169096.15,7.215179443359375,,4.9
1719169096.2,7.120643615722656,,4.95
1719169096.25,7.095100402832031,,5.0
1719169096.3,7.066993713378906,,5.05
1719169096.35,6.980125427246094,,5.1
1719169096.4,6.877922058105469,,5.15
1719169096.45,6.934135437011719,,5.2
1719169096.5,7.194740295410156,,5.25
1719169096.55,7.470680236816406,,5.3
1719169096.6,7.889701843261719,,5.35
1719169096.65,8.009788513183594,,5.4
1719169096.7,7.836044311523437,,5.45
1719169096.75,7.62908935546875,,5.5
1719169096.8,7.40936279296875,,5.55
1719169096.85,7.358261108398437,,5.6
1719169096.9,7.3914794921875,,5.65
1719169096.95,7.455352783203125,,5.7
1719169097.0,7.537109375,,5.75
1719169097.05,7.532005310058594,,5.8
1719169097.1,7.411918640136719,,5.85
1719169097.15,7.307159423828125,,5.9
1719169097.2,7.22795867919922,,5.95
1719169097.25,7.263725280761719,,6.0
1719169097.3,7.46302032470703,,6.05
1719169097.35,7.616317749023437,,6.1
1719169097.4,7.741508483886719,,6.15
1719169097.45,7.713409423828125,,6.2
1719169097.5,7.5601043701171875,,6.25
1719169097.55,7.457908630371095,,6.3
1719169097.6,7.2305145263671875,,6.35
1719169097.65,7.003120422363281,,6.4
1719169097.7,6.85748291015625,,6.45
1719169097.75,7.003120422363281,,6.5
1719169097.8,7.266281127929688,,6.55
1719169097.85,7.325050354003905,,6.6
1719169097.9,7.452796936035157,,6.65
1719169097.95,7.7210693359375,,6.7
1719169098.0,8.326606750488281,,6.75
1719169098.05,8.612770080566406,,6.8
1719169098.1,8.226959228515625,,6.85
1719169098.15,7.616317749023437,,6.9
1719169098.2,7.158973693847656,,6.95
1719169098.25,7.166633605957031,,7.0
1719169098.3,7.217735290527344,,7.05
1719169098.35,7.202407836914063,,7.1
1719169098.4,7.135978698730469,,7.15
1719169098.45,7.123199462890625,,7.2
1719169098.5,7.266281127929688,,7.25
1719169098.55,7.381256103515625,,7.3
1719169098.6,7.368484497070312,,7.35
1719169098.65,7.22540283203125,,7.4
1719169098.7,6.936683654785156,,7.45
1719169098.75,6.808937072753906,,7.5
1719169098.8,6.788497924804688,,7.55
1719169098.85,6.834487915039063,,7.6
1719169098.9,6.89069366455078,,7.65
1719169098.95,6.82170867919922,,7.7
1719169099.0,6.573875427246094,,7.75
1719169099.05,6.499778747558594,,7.8
1719169099.1,6.604537963867188,,7.85
1719169099.15,6.67096710205078,,7.9
1719169099.2,6.6326446533203125,,7.95
1719169099.25,6.578987121582031,,8.0
1719169099.3,6.573875427246094,,8.05
1719169099.35,6.604537963867188,,8.1
1719169099.4,6.604537963867188,,8.15
1719169099.45,6.568763732910156,,8.2
1719169099.5,6.5125579833984375,,8.25
1719169099.55,6.487007141113281,,8.3
1719169099.6,6.443572998046875,,8.35
1719169099.65,6.3643646240234375,,8.4
1719169099.7,6.221290588378906,,8.45
1719169099.75,6.167633056640625,,8.5
1719169099.8,6.167633056640625,,8.55
1719169099.85,6.19573974609375,,8.6
1719169099.9,6.23150634765625,,8.65
1719169099.95,6.213623046875,,8.7
1719169100.0,6.136970520019531,,8.75
1719169100.05,6.0705413818359375,,8.8
1719169100.1,5.940238952636719,,8.85
1719169100.15,5.868698120117188,,8.9
1719169100.2,5.7767181396484375,,8.95
1719169100.25,5.71794891357422,,9.0
1719169100.3,5.687294006347656,,9.05
1719169100.35,5.6745147705078125,,9.1
1719169100.4,5.636192321777344,,9.15
1719169100.45,5.531440734863281,,9.2
1719169100.5,5.176292419433594,,9.25
1719169100.55,4.9207916259765625,,9.3
1719169100.6,4.7010650634765625,,9.35
1719169100.65,4.739387512207031,,9.4
1719169100.7,5.104751586914063,,9.45
1719169100.75,5.503334045410156,,9.5
1719169100.8,6.241729736328125,,9.55
