Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Respiration Rate(bpm),time
1727926376.5,11.262298583984377,,,,,0.0
1727926376.55,11.819290161132812,,,,,0.05
1727926376.6,12.15399932861328,,,,,0.1
1727926376.65,12.621559143066406,,,,,0.15
1727926376.7,12.92816162109375,,,,,0.2
1727926376.75,13.6461181640625,,,,,0.25
1727926376.8,14.369178771972656,,,,,0.3
1727926376.85,15.631355285644531,,,,,0.35
1727926376.9,16.34674835205078,,,,,0.4
1727926376.95,16.90373992919922,,,,,0.45
1727926377.0,16.75299835205078,,,,,0.5
1727926377.05,15.590469360351562,,,,,0.55
1727926377.1,14.795867919921877,,,,,0.6
1727926377.15,14.50714874267578,,,,,0.65
1727926377.2,14.611907958984377,,,,,0.7
1727926377.25,14.6400146484375,,,,,0.75
1727926377.3,14.645118713378906,,,,,0.8
1727926377.35,14.76776123046875,,,,,0.85
1727926377.4,14.831634521484377,,,,,0.9
1727926377.45,14.84441375732422,,,,,0.95
1727926377.5,14.849525451660156,,,,,1.0
1727926377.55,14.972160339355469,,,,,1.05
1727926377.6,15.066696166992188,,,,,1.1
1727926377.65,14.9696044921875,,,,,1.15
1727926377.7,14.88018035888672,,,,,1.2
1727926377.75,14.94916534423828,,,,,1.25
1727926377.8,15.041145324707031,,,,,1.3
1727926377.85,15.181671142578123,,,,,1.35
1727926377.9,15.294090270996094,,,,,1.4
1727926377.95,15.437171936035156,,,,,1.45
1727926378.0,15.406509399414062,,,,,1.5
1727926378.05,15.122909545898438,,,,,1.55
1727926378.1,14.95172119140625,,,,,1.6
1727926378.15,14.852073669433594,,,,,1.65
1727926378.2,14.84185791015625,,,,,1.7
1727926378.25,14.869964599609377,,,,,1.75
1727926378.3,14.783088684082031,,,,,1.8
1727926378.35,14.341079711914062,,,,,1.85
1727926378.4,13.88372802734375,,,,,1.9
1727926378.45,13.135116577148438,,,,,1.95
1727926378.5,12.695655822753906,,,,,2.0
1727926378.55,12.245979309082031,,,,,2.05
1727926378.6,12.105453491210938,,,,,2.1
1727926378.65,11.875503540039062,,,,,2.15
1727926378.7,11.64044189453125,,,,,2.2
1727926378.75,11.27507781982422,,,,,2.25
1727926378.8,11.037460327148438,,,,,2.3
1727926378.85,10.730865478515623,,,,,2.35
1727926378.9,10.651657104492188,,,,,2.4
1727926378.95,10.61333465576172,,,,,2.45
1727926379.0,10.546905517578123,,,,,2.5
1727926379.05,10.50091552734375,,,,,2.55
1727926379.1,10.541793823242188,,,,,2.6
1727926379.15,10.659324645996094,,,,,2.65
1727926379.2,10.71808624267578,,,,,2.7
1727926379.25,10.715530395507812,,,,,2.75
1727926379.3,10.730865478515623,,,,,2.8
1727926379.35,10.935264587402344,,,,,2.85
1727926379.4,11.08856201171875,,,,,2.9
1727926379.45,11.177986145019531,,,,,2.95
1727926379.5,11.211204528808594,,,,,3.0
1727926379.55,11.208648681640623,,,,,3.05
1727926379.6,11.12688446044922,,,,,3.1
1727926379.65,10.94292449951172,,,,,3.15
1727926379.7,10.932708740234377,,,,,3.2
1727926379.75,11.190765380859377,,,,,3.25
1727926379.8,11.49480438232422,,,,,3.3
1727926379.85,12.033912658691406,,,,,3.35
1727926379.9,12.274078369140623,,,,,3.4
1727926379.95,12.164215087890623,,,,,3.45
1727926380.0,11.913825988769531,20.47781562805176,,,,3.5
1727926380.05,11.763084411621094,,,,,3.55
1727926380.1,11.911270141601562,,,,,3.6
1727926380.15,12.7620849609375,,,,,3.65
1727926380.2,13.692108154296877,,,,,3.7
1727926380.25,15.219993591308594,,,,,3.75
1727926380.3,16.134689331054688,,,,,3.8
1727926380.35,17.008499145507812,,,,,3.85
1727926380.4,17.04682159423828,,,,,3.9
1727926380.45,16.566482543945312,,,,,3.95
1727926380.5,16.20111846923828,,,,,4.0
1727926380.55,15.810203552246094,,,,,4.05
1727926380.6,15.618576049804688,,,,,4.1
1727926380.65,15.28643035888672,,,,,4.15
1727926380.7,15.199554443359377,,,,,4.2
1727926380.75,15.268539428710938,,,,,4.25
1727926380.8,15.219993591308594,,,,,4.3
1727926380.85,15.046257019042969,,,,,4.35
1727926380.9,15.071807861328123,,,,,4.4
1727926380.95,15.39629364013672,,,,,4.45
1727926381.0,15.626243591308594,,,,,4.5
1727926381.05,15.825531005859377,,,,,4.55
1727926381.1,15.889404296875,,,,,4.6
1727926381.15,15.746330261230469,,,,,4.65
1727926381.2,15.472938537597656,,,,,4.7
1727926381.25,15.089691162109377,,,,,4.75
1727926381.3,14.997711181640623,,,,,4.8
1727926381.35,14.931282043457031,,,,,4.85
