Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Respiration Rate(bpm),time
1727926451.85,11.277633666992188,,,,,0.0
1727926451.9,11.333839416503906,,,,,0.05
1727926451.95,11.055343627929688,,,,,0.1
1727926452.0,10.631217956542969,,,,,0.15
1727926452.05,9.992469787597656,,,,,0.2
1727926452.1,9.69609069824219,,,,,0.25
1727926452.15,9.501907348632812,,,,,0.3
1727926452.2,9.47124481201172,,,,,0.35
1727926452.25,9.501907348632812,,,,,0.4
1727926452.3,9.7088623046875,,,,,0.45
1727926452.35,10.46258544921875,,,,,0.5
1727926452.4,11.16265869140625,,,,,0.55
1727926452.45,12.506584167480469,,,,,0.6
1727926452.5,13.531143188476562,,,,,0.65
1727926452.55,14.665565490722656,,,,,0.7
1727926452.6,15.24810028076172,,,,,0.75
1727926452.65,16.11425018310547,,,,,0.8
1727926452.7,16.487274169921875,,,,,0.85
1727926452.75,17.32276153564453,,,,,0.9
1727926452.8,18.418853759765625,,,,,0.95
1727926452.85,20.243125915527344,,,,,1.0
1727926452.9,21.45419311523437,,,,,1.05
1727926452.95,23.270801544189453,,,,,1.1
1727926453.0,24.39755630493164,,,,,1.15
1727926453.05,25.958660125732425,,,,,1.2
1727926453.1,26.952556610107425,,,,,1.25
1727926453.15,28.421680450439453,,,,,1.3
1727926453.2,29.25716781616211,,,,,1.35
1727926453.25,30.16419219970703,,,,,1.4
1727926453.3,30.606204986572266,,,,,1.45
1727926453.35,31.119762420654297,,,,,1.5
1727926453.4,31.31904983520508,,,,,1.55
1727926453.45,31.39059066772461,,,,,1.6
1727926453.5,31.09931945800781,,,,,1.65
1727926453.55,29.35425567626953,,,,,1.7
1727926453.6,27.32303237915039,,,,,1.75
1727926453.65,23.804798126220703,,,,,1.8
1727926453.7,21.57172393798828,,,,,1.85
1727926453.75,18.477622985839844,,,,,1.9
1727926453.8,16.410629272460938,,,,,1.95
1727926453.85,13.595016479492188,,,,,2.0
1727926453.9,12.11822509765625,,,,,2.05
1727926453.95,10.518798828125,,,,,2.1
1727926454.0,9.757408142089846,,,,,2.15
1727926454.05,8.906593322753906,,,,,2.2
1727926454.1,8.472244262695312,,,,,2.25
1727926454.15,8.002120971679688,,,,,2.3
1727926454.2,7.8002777099609375,,,,,2.35
1727926454.25,7.575439453125,,,,,2.4
1727926454.3,7.4323577880859375,,,,,2.45
1727926454.35,7.245841979980469,,,,,2.5
1727926454.4,7.181968688964844,,,,,2.55
1727926454.45,7.1385345458984375,,,,,2.6
1727926454.5,7.051658630371094,,,,,2.65
1727926454.55,6.837043762207031,,,,,2.7
1727926454.6,6.722068786621094,,,,,2.75
1727926454.65,6.676078796386719,,,,,2.8
1727926454.7,6.69140625,,,,,2.85
1727926454.75,6.70928955078125,,,,,2.9
1727926454.8,6.7322845458984375,,,,,2.95
1727926454.85,6.798713684082031,,,,,3.0
1727926454.9,6.829376220703125,,,,,3.05
