,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
15740,1707342166.0,4.021430969238281,,0.0
15741,1707342166.05,4.003547668457031,,0.04999995231628418
15742,1707342166.1,3.9243392944335938,,0.09999990463256836
15743,1707342166.15,3.880905151367187,,0.15000009536743164
15744,1707342166.2,3.85791015625,,0.20000004768371582
15745,1707342166.25,3.87579345703125,,0.25
15746,1707342166.3,3.8936843872070312,,0.2999999523162842
15747,1707342166.35,3.921783447265625,,0.34999990463256836
15748,1707342166.4,4.0572052001953125,,0.40000009536743164
15749,1707342166.45,4.218170166015625,,0.4500000476837158
15750,1707342166.5,4.412345886230469,,0.5
15751,1707342166.55,4.4608917236328125,,0.5499999523162842
15752,1707342166.6,4.509437561035156,,0.5999999046325684
15753,1707342166.65,4.527320861816406,,0.6500000953674316
15754,1707342166.7,4.4149017333984375,,0.7000000476837158
15755,1707342166.75,4.3331451416015625,,0.75
15756,1707342166.8,4.35358428955078,,0.7999999523162842
15757,1707342166.85,4.338249206542969,,0.8499999046325684
15758,1707342166.9,4.192619323730469,,0.9000000953674316
15759,1707342166.95,4.115966796875,,0.9500000476837158
15760,1707342167.0,4.1031951904296875,,1.0
15761,1707342167.05,4.126190185546875,,1.0499999523162842
15762,1707342167.1,4.1491851806640625,,1.0999999046325684
15763,1707342167.15,4.144073486328125,,1.1500000953674316
15764,1707342167.2,4.1210784912109375,,1.2000000476837158
15765,1707342167.25,4.085304260253906,,1.25
15766,1707342167.3,4.021430969238281,,1.2999999523162842
15767,1707342167.35,4.0112152099609375,,1.3499999046325684
15768,1707342167.4,4.008659362792969,,1.4000000953674316
15769,1707342167.45,3.9984359741210938,,1.4500000476837158
15770,1707342167.5,4.013763427734375,,1.5
15771,1707342167.55,4.054649353027344,,1.5499999523162842
15772,1707342167.6,4.13640594482422,,1.5999999046325684
15773,1707342167.65,4.159400939941406,,1.6500000953674316
15774,1707342167.7,4.100639343261719,,1.7000000476837158
15775,1707342167.75,4.039314270019531,,1.75
15776,1707342167.8,3.985664367675781,,1.7999999523162842
15777,1707342167.85,3.993324279785156,,1.8499999046325684
15778,1707342167.9,4.016319274902344,,1.9000000953674316
15779,1707342167.95,4.013763427734375,,1.9500000476837158
15780,1707342168.0,4.008659362792969,,2.0
15781,1707342168.05,3.995880126953125,,2.049999952316284
15782,1707342168.1,3.944778442382813,,2.0999999046325684
15783,1707342168.15,3.9396743774414062,,2.1500000953674316
15784,1707342168.2,3.9320068359375,,2.200000047683716
15785,1707342168.25,3.8885726928710938,,2.25
15786,1707342168.3,3.832359313964844,,2.299999952316284
15787,1707342168.35,3.799148559570313,,2.3499999046325684
15788,1707342168.4,3.7454910278320312,,2.4000000953674316
15789,1707342168.45,3.7173843383789062,,2.450000047683716
15790,1707342168.5,3.7173843383789062,,2.5
15791,1707342168.55,3.796592712402344,,2.549999952316284
15792,1707342168.6,3.9626693725585938,,2.5999999046325684
15793,1707342168.65,4.0418701171875,,2.6500000953674316
15794,1707342168.7,4.13640594482422,,2.700000047683716
15795,1707342168.75,4.1389617919921875,,2.75
15796,1707342168.8,4.0648651123046875,,2.799999952316284
15797,1707342168.85,4.044425964355469,,2.8499999046325684
15798,1707342168.9,4.006103515625,,2.9000000953674316
15799,1707342168.95,3.977996826171875,,2.950000047683716
15800,1707342169.0,3.9728851318359375,29.702970504760746,3.0
15801,1707342169.05,3.985664367675781,,3.049999952316284
15802,1707342169.1,3.944778442382813,,3.0999999046325684
15803,1707342169.15,3.8144760131835938,,3.1500000953674316
15804,1707342169.2,3.5768585205078125,,3.200000047683716
15805,1707342169.25,3.444000244140625,,3.25
15806,1707342169.3,3.3392486572265625,,3.299999952316284
15807,1707342169.35,3.4491119384765625,,3.3499999046325684
15808,1707342169.4,3.758270263671875,,3.4000000953674316
15809,1707342169.45,3.944778442382813,,3.450000047683716
15810,1707342169.5,4.215614318847656,,3.5
15811,1707342169.55,4.3050384521484375,,3.549999952316284
15812,1707342169.6,4.3050384521484375,,3.5999999046325684
15813,1707342169.65,4.335693359375,,3.6500000953674316
15814,1707342169.7,4.3586883544921875,,3.700000047683716
15815,1707342169.75,4.225830078125,,3.75
15816,1707342169.8,3.883460998535156,,3.799999952316284
15817,1707342169.85,3.696945190429687,,3.8499999046325684
15818,1707342169.9,3.6049652099609375,,3.9000000953674316
15819,1707342169.95,3.62030029296875,,3.950000047683716
15820,1707342170.0,3.589637756347656,,4.0
15821,1707342170.05,3.5487594604492188,,4.049999952316284
15822,1707342170.1,3.5640869140625,,4.099999904632568
15823,1707342170.15,3.599853515625,,4.150000095367432
15824,1707342170.2,3.625404357910156,,4.200000047683716
15825,1707342170.25,3.648399353027344,,4.25
15826,1707342170.3,3.748046875,,4.299999952316284
15827,1707342170.35,3.7914810180664062,,4.349999904632568
15828,1707342170.4,3.7429351806640625,,4.400000095367432
15829,1707342170.45,3.7046127319335938,,4.450000047683716
15830,1707342170.5,3.6943893432617183,,4.5
15831,1707342170.55,3.7046127319335938,,4.549999952316284
15832,1707342170.6,3.684173583984375,,4.599999904632568
15833,1707342170.65,3.6688385009765625,,4.650000095367432
15834,1707342170.7,3.702056884765625,,4.700000047683716
15835,1707342170.75,3.7633743286132817,,4.75
15836,1707342170.8,3.8527984619140625,,4.799999952316284
15837,1707342170.85,3.8630218505859375,,4.849999904632568
15838,1707342170.9,3.7914810180664062,,4.900000095367432
15839,1707342170.95,3.7122802734375,,4.950000047683716
15840,1707342171.0,3.625404357910156,,5.0
15841,1707342171.05,3.6049652099609375,,5.049999952316284
15842,1707342171.1,3.5973052978515625,,5.099999904632568
15843,1707342171.15,3.589637756347656,,5.150000095367432
15844,1707342171.2,3.4925460815429688,,5.200000047683716
15845,1707342171.25,3.39801025390625,,5.25
15846,1707342171.3,3.4210052490234375,,5.299999952316284
15847,1707342171.35,3.648399353027344,,5.349999904632568
15848,1707342171.4,4.039314270019531,,5.400000095367432
15849,1707342171.45,4.1747283935546875,,5.450000047683716
15850,1707342171.5,4.3050384521484375,,5.5
15851,1707342171.55,4.39190673828125,,5.549999952316284
15852,1707342171.6,4.417457580566406,,5.599999904632568
15853,1707342171.65,4.325477600097656,,5.650000095367432
15854,1707342171.7,4.1389617919921875,,5.700000047683716
15855,1707342171.75,4.021430969238281,,5.75
15856,1707342171.8,3.8630218505859375,,5.799999952316284
15857,1707342171.85,3.758270263671875,,5.849999904632568
15858,1707342171.9,3.6535110473632817,,5.900000095367432
15859,1707342171.95,3.627960205078125,,5.950000047683716
15860,1707342172.0,3.5845260620117188,,6.0
15861,1707342172.05,3.5206527709960938,,6.049999952316284
15862,1707342172.1,3.4593353271484375,,6.099999904632568
15863,1707342172.15,3.479774475097656,,6.150000095367432
15864,1707342172.2,3.4951019287109375,,6.200000047683716
15865,1707342172.25,3.4772186279296875,,6.25
15866,1707342172.3,3.4593353271484375,,6.299999952316284
15867,1707342172.35,3.479774475097656,,6.349999904632568
15868,1707342172.4,3.515541076660156,,6.400000095367432
15869,1707342172.45,3.518096923828125,,6.450000047683716
15870,1707342172.5,3.50787353515625,,6.5
15871,1707342172.55,3.50787353515625,,6.549999952316284
15872,1707342172.6,3.500213623046875,,6.599999904632568
15873,1707342172.65,3.4951019287109375,,6.650000095367432
15874,1707342172.7,3.4925460815429688,,6.700000047683716
15875,1707342172.75,3.4874343872070312,,6.75
15876,1707342172.8,3.489990234375,,6.799999952316284
15877,1707342172.85,3.50787353515625,,6.849999904632568
15878,1707342172.9,3.515541076660156,,6.900000095367432
15879,1707342172.95,3.518096923828125,,6.950000047683716
15880,1707342173.0,3.5308685302734375,,7.0
15881,1707342173.05,3.5334243774414062,,7.049999952316284
15882,1707342173.1,3.489990234375,,7.099999904632568
15883,1707342173.15,3.4542236328125,,7.150000095367432
15884,1707342173.2,3.4542236328125,,7.200000047683716
15885,1707342173.25,3.43634033203125,,7.25
15886,1707342173.3,3.334136962890625,,7.299999952316284
15887,1707342173.35,3.298370361328125,,7.349999904632568
15888,1707342173.4,3.3494644165039062,,7.400000095367432
15889,1707342173.45,3.3826828002929688,,7.450000047683716
15890,1707342173.5,3.390350341796875,,7.5
15891,1707342173.55,3.4031219482421875,,7.549999952316284
15892,1707342173.6,3.43634033203125,,7.599999904632568
15893,1707342173.65,3.426116943359375,,7.650000095367432
15894,1707342173.7,3.354576110839844,,7.700000047683716
15895,1707342173.75,3.3264694213867188,,7.75
15896,1707342173.8,3.354576110839844,,7.799999952316284
15897,1707342173.85,3.3826828002929688,,7.849999904632568
15898,1707342173.9,3.4005661010742188,,7.900000095367432
15899,1707342173.95,3.3852386474609375,,7.950000047683716
15900,1707342174.0,3.331581115722656,,8.0
15901,1707342174.05,3.298370361328125,,8.049999952316284
15902,1707342174.1,3.2549285888671875,,8.099999904632568
15903,1707342174.15,3.25238037109375,,8.150000095367432
15904,1707342174.2,3.280479431152344,,8.200000047683716
15905,1707342174.25,3.2855911254882812,,8.25
15906,1707342174.3,3.2498245239257812,,8.299999952316284
15907,1707342174.35,3.221717834472656,,8.349999904632568
15908,1707342174.4,3.1731719970703125,,8.400000095367432
15909,1707342174.45,3.1195144653320312,,8.450000047683716
15910,1707342174.5,3.147621154785156,,8.5
15911,1707342174.55,3.318809509277344,,8.549999952316284
15912,1707342174.6,3.7327194213867183,,8.599999904632568
15913,1707342174.65,4.0188751220703125,,8.650000095367432
15914,1707342174.7,4.2590484619140625,,8.700000047683716
15915,1707342174.75,4.31525421142578,,8.75
15916,1707342174.8,4.417457580566406,,8.799999952316284
15917,1707342174.85,4.46344757080078,,8.849999904632568
15918,1707342174.9,4.381683349609375,,8.900000095367432
15919,1707342174.95,4.20539093017578,,8.950000047683716
15920,1707342175.0,3.960113525390625,,9.0
15921,1707342175.05,3.9013442993164062,,9.049999952316284
15922,1707342175.1,3.896240234375,,9.099999904632568
15923,1707342175.15,3.847694396972656,,9.150000095367432
15924,1707342175.2,3.699501037597656,,9.200000047683716
15925,1707342175.25,3.6305160522460938,,9.25
15926,1707342175.3,3.574310302734375,,9.299999952316284
15927,1707342175.35,3.518096923828125,,9.349999904632568
15928,1707342175.4,3.444000244140625,,9.400000095367432
15929,1707342175.45,3.4491119384765625,,9.450000047683716
15930,1707342175.5,3.464439392089844,,9.5
15931,1707342175.55,3.441444396972656,,9.549999952316284
15932,1707342175.6,3.4005661010742188,,9.599999904632568
15933,1707342175.65,3.4031219482421875,,9.650000095367432
15934,1707342175.7,3.4184494018554688,,9.700000047683716
15935,1707342175.75,3.4005661010742188,,9.75
15936,1707342175.8,3.3418045043945312,,9.799999952316284
15937,1707342175.85,3.331581115722656,,9.849999904632568
15938,1707342175.9,3.3750152587890625,,9.900000095367432
15939,1707342175.95,3.3750152587890625,,9.950000047683716
15940,1707342176.0,3.3469085693359375,,10.0
15941,1707342176.05,3.3418045043945312,,10.049999952316284
15942,1707342176.1,3.4031219482421875,,10.099999904632568
15943,1707342176.15,3.4925460815429688,,10.150000095367432
15944,1707342176.2,3.5589752197265625,,10.200000047683716
15945,1707342176.25,3.5232086181640625,,10.25
15946,1707342176.3,3.4516677856445312,,10.299999952316284
15947,1707342176.35,3.4337844848632812,,10.349999904632568
15948,1707342176.4,3.4516677856445312,,10.400000095367432
15949,1707342176.45,3.4746627807617188,,10.450000047683716
15950,1707342176.5,3.489990234375,,10.5
15951,1707342176.55,3.47210693359375,,10.549999952316284
15952,1707342176.6,3.4312286376953125,,10.599999904632568
15953,1707342176.65,3.4235610961914062,,10.650000095367432
15954,1707342176.7,3.461883544921875,,10.700000047683716
15955,1707342176.75,3.4874343872070312,,10.75
15956,1707342176.8,3.4695510864257812,,10.799999952316284
15957,1707342176.85,3.444000244140625,,10.849999904632568
15958,1707342176.9,3.4133453369140625,,10.900000095367432
15959,1707342176.95,3.4184494018554688,,10.950000047683716
15960,1707342177.0,3.426116943359375,,11.0
15961,1707342177.05,3.4158935546875,,11.049999952316284
15962,1707342177.1,3.3852386474609375,,11.099999904632568
15963,1707342177.15,3.369903564453125,,11.150000095367432
15964,1707342177.2,3.3596878051757812,,11.200000047683716
15965,1707342177.25,3.3060302734375,,11.25
15966,1707342177.3,3.1425094604492188,,11.299999952316284
15967,1707342177.35,3.0352020263671875,,11.349999904632568
15968,1707342177.4,3.0352020263671875,,11.400000095367432
15969,1707342177.45,3.1884994506835938,,11.450000047683716
15970,1707342177.5,3.553863525390625,,11.5
15971,1707342177.55,3.76593017578125,,11.549999952316284
15972,1707342177.6,3.9294509887695312,,11.599999904632568
15973,1707342177.65,3.955001831054687,,11.650000095367432
15974,1707342177.7,3.995880126953125,,11.700000047683716
15975,1707342177.75,4.031654357910156,,11.75
15976,1707342177.8,4.085304260253906,,11.799999952316284
15977,1707342177.85,4.113410949707031,,11.849999904632568
15978,1707342177.9,4.105743408203125,,11.900000095367432
15979,1707342177.95,4.069976806640625,,11.950000047683716
15980,1707342178.0,3.990768432617187,,12.0
15981,1707342178.05,3.9524459838867183,,12.049999952316284
15982,1707342178.1,3.921783447265625,,12.099999904632568
15983,1707342178.15,3.883460998535156,,12.150000095367432
15984,1707342178.2,3.8272552490234375,,12.200000047683716
15985,1707342178.25,3.799148559570313,,12.25
15986,1707342178.3,3.748046875,,12.299999952316284
15987,1707342178.35,3.7173843383789062,,12.349999904632568
15988,1707342178.4,3.7046127319335938,,12.400000095367432
15989,1707342178.45,3.689285278320313,,12.450000047683716
15990,1707342178.5,3.6049652099609375,,12.5
15991,1707342178.55,3.5206527709960938,,12.549999952316284
15992,1707342178.6,3.4388885498046875,,12.599999904632568
15993,1707342178.65,3.428672790527344,,12.650000095367432
15994,1707342178.7,3.39801025390625,,12.700000047683716
15995,1707342178.75,3.354576110839844,,12.75
15996,1707342178.8,3.3724594116210938,,12.799999952316284
15997,1707342178.85,3.4567794799804688,,12.849999904632568
15998,1707342178.9,3.5615310668945312,,12.900000095367432
15999,1707342178.95,3.5768585205078125,,12.950000047683716
16000,1707342179.0,3.5615310668945312,25.2100830078125,13.0
16001,1707342179.05,3.5589752197265625,,13.049999952316284
16002,1707342179.1,3.5334243774414062,,13.099999904632568
16003,1707342179.15,3.4976577758789062,,13.150000095367432
16004,1707342179.2,3.4491119384765625,,13.200000047683716
16005,1707342179.25,3.4388885498046875,,13.25
16006,1707342179.3,3.426116943359375,,13.299999952316284
16007,1707342179.35,3.3928985595703125,,13.349999904632568
16008,1707342179.4,3.3418045043945312,,13.400000095367432
16009,1707342179.45,3.3366928100585938,,13.450000047683716
16010,1707342179.5,3.3673553466796875,,13.5
16011,1707342179.55,3.4005661010742188,,13.549999952316284
16012,1707342179.6,3.4516677856445312,,13.599999904632568
16013,1707342179.65,3.4874343872070312,,13.650000095367432
16014,1707342179.7,3.5129852294921875,,13.700000047683716
16015,1707342179.75,3.489990234375,,13.75
16016,1707342179.8,3.444000244140625,,13.799999952316284
16017,1707342179.85,3.428672790527344,,13.849999904632568
16018,1707342179.9,3.4005661010742188,,13.900000095367432
16019,1707342179.95,3.3775711059570312,,13.950000047683716
16020,1707342180.0,3.3392486572265625,,14.0
16021,1707342180.05,3.316253662109375,,14.049999952316284
16022,1707342180.1,3.3111419677734375,,14.099999904632568
16023,1707342180.15,3.3034744262695312,,14.150000095367432
16024,1707342180.2,3.2855911254882812,,14.200000047683716
16025,1707342180.25,3.2753753662109375,,14.25
16026,1707342180.3,3.2753753662109375,,14.299999952316284
16027,1707342180.35,3.2728195190429688,,14.349999904632568
16028,1707342180.4,3.2370452880859375,,14.400000095367432
16029,1707342180.45,3.21405029296875,,14.450000047683716
16030,1707342180.5,3.2191619873046875,,14.5
16031,1707342180.55,3.2166061401367188,,14.549999952316284
16032,1707342180.6,3.150177001953125,,14.599999904632568
16033,1707342180.65,3.1092987060546875,,14.650000095367432
16034,1707342180.7,3.10418701171875,,14.700000047683716
16035,1707342180.75,3.1067428588867188,,14.75
16036,1707342180.8,3.0914154052734375,,14.799999952316284
16037,1707342180.85,3.06842041015625,,14.849999904632568
16038,1707342180.9,3.0326461791992188,,14.900000095367432
16039,1707342180.95,3.0198745727539062,,14.950000047683716
16040,1707342181.0,3.0198745727539062,,15.0
16041,1707342181.05,3.0249786376953125,,15.049999952316284
16042,1707342181.1,3.0173187255859375,,15.099999904632568
16043,1707342181.15,3.0198745727539062,,15.150000095367432
16044,1707342181.2,3.01220703125,,15.200000047683716
16045,1707342181.25,2.9994354248046875,,15.25
16046,1707342181.3,3.022430419921875,,15.299999952316284
16047,1707342181.35,3.040313720703125,,15.349999904632568
16048,1707342181.4,3.0352020263671875,,15.400000095367432
16049,1707342181.45,3.0249786376953125,,15.450000047683716
16050,1707342181.5,3.01220703125,,15.5
16051,1707342181.55,2.99432373046875,,15.549999952316284
16052,1707342181.6,2.966217041015625,,15.599999904632568
16053,1707342181.65,2.9713287353515625,,15.650000095367432
16054,1707342181.7,2.9738845825195312,,15.700000047683716
16055,1707342181.75,2.9534454345703125,,15.75
16056,1707342181.8,2.9406661987304688,,15.799999952316284
16057,1707342181.85,2.950889587402344,,15.849999904632568
16058,1707342181.9,2.95599365234375,,15.900000095367432
16059,1707342181.95,2.9381103515625,,15.950000047683716
16060,1707342182.0,2.853797912597656,,16.0
16061,1707342182.05,2.8129196166992188,,16.049999952316284
16062,1707342182.1,2.8819046020507812,,16.09999990463257
16063,1707342182.15,2.948333740234375,,16.15000009536743
16064,1707342182.2,3.114410400390625,,16.200000047683716
16065,1707342182.25,3.260040283203125,,16.25
16066,1707342182.3,3.3469085693359375,,16.299999952316284
16067,1707342182.35,3.3673553466796875,,16.34999990463257
16068,1707342182.4,3.354576110839844,,16.40000009536743
16069,1707342182.45,3.32391357421875,,16.450000047683716
16070,1707342182.5,3.2370452880859375,,16.5
16071,1707342182.55,3.1016311645507812,,16.549999952316284
16072,1707342182.6,2.8308029174804688,,16.59999990463257
16073,1707342182.65,2.6417312622070312,,16.65000009536743
16074,1707342182.7,2.324913024902344,,16.700000047683716
16075,1707342182.75,2.1154022216796875,,16.75
16076,1707342182.8,1.9288864135742188,,16.799999952316284
16077,1707342182.85,1.8931198120117188,,16.84999990463257
16078,1707342182.9,1.8139114379882812,,16.90000009536743
16079,1707342182.95,1.7244873046875,,16.950000047683716
16080,1707342183.0,1.6631698608398438,,17.0
16081,1707342183.05,1.7321548461914062,,17.049999952316284
16082,1707342183.1,1.8547897338867188,,17.09999990463257
16083,1707342183.15,2.056640625,,17.15000009536743
16084,1707342183.2,2.174163818359375,,17.200000047683716
16085,1707342183.25,2.301918029785156,,17.25
16086,1707342183.3,2.399009704589844,,17.299999952316284
16087,1707342183.35,2.5318679809570312,,17.34999990463257
16088,1707342183.4,2.5676345825195312,,17.40000009536743
16089,1707342183.45,2.6008529663085938,,17.450000047683716
16090,1707342183.5,2.62640380859375,,17.5
16091,1707342183.55,2.6519546508789062,,17.549999952316284
16092,1707342183.6,2.6493988037109375,,17.59999990463257
16093,1707342183.65,2.6417312622070312,,17.65000009536743
16094,1707342183.7,2.6366195678710938,,17.700000047683716
16095,1707342183.75,2.6366195678710938,,17.75
16096,1707342183.8,2.6238479614257812,,17.799999952316284
16097,1707342183.85,2.62640380859375,,17.84999990463257
16098,1707342183.9,2.6519546508789062,,17.90000009536743
16099,1707342183.95,2.6596145629882812,,17.950000047683716
16100,1707342184.0,2.644287109375,,18.0
16101,1707342184.05,2.6212921142578125,,18.049999952316284
16102,1707342184.1,2.595741271972656,,18.09999990463257
16103,1707342184.15,2.5676345825195312,,18.15000009536743
16104,1707342184.2,2.5650787353515625,,18.200000047683716
16105,1707342184.25,2.5650787353515625,,18.25
16106,1707342184.3,2.5471954345703125,,18.299999952316284
16107,1707342184.35,2.524200439453125,,18.34999990463257
16108,1707342184.4,2.5293121337890625,,18.40000009536743
16109,1707342184.45,2.534423828125,,18.450000047683716
16110,1707342184.5,2.5114288330078125,,18.5
16111,1707342184.55,2.4909896850585938,,18.549999952316284
16112,1707342184.6,2.488433837890625,,18.59999990463257
16113,1707342184.65,2.4679946899414062,,18.65000009536743
16114,1707342184.7,2.470550537109375,,18.700000047683716
16115,1707342184.75,2.506317138671875,,18.75
16116,1707342184.8,2.5293121337890625,,18.799999952316284
16117,1707342184.85,2.5318679809570312,,18.84999990463257
16118,1707342184.9,2.524200439453125,,18.90000009536743
16119,1707342184.95,2.5267562866210938,,18.950000047683716
16120,1707342185.0,2.5293121337890625,,19.0
16121,1707342185.05,2.5190887451171875,,19.049999952316284
16122,1707342185.1,2.521644592285156,,19.09999990463257
16123,1707342185.15,2.544639587402344,,19.15000009536743
16124,1707342185.2,2.5369796752929688,,19.200000047683716
16125,1707342185.25,2.508872985839844,,19.25
16126,1707342185.3,2.506317138671875,,19.299999952316284
16127,1707342185.35,2.5114288330078125,,19.34999990463257
16128,1707342185.4,2.5190887451171875,,19.40000009536743
16129,1707342185.45,2.5293121337890625,,19.450000047683716
16130,1707342185.5,2.5267562866210938,,19.5
16131,1707342185.55,2.5267562866210938,,19.549999952316284
16132,1707342185.6,2.542083740234375,,19.59999990463257
16133,1707342185.65,2.5727462768554688,,19.65000009536743
16134,1707342185.7,2.5753021240234375,,19.700000047683716
16135,1707342185.75,2.562530517578125,,19.75
16136,1707342185.8,2.562530517578125,,19.799999952316284
16137,1707342185.85,2.5395355224609375,,19.84999990463257
16138,1707342185.9,2.4935455322265625,,19.90000009536743
16139,1707342185.95,2.4271087646484375,,19.950000047683716
16140,1707342186.0,2.424560546875,,20.0
16141,1707342186.05,2.4603271484375,,20.049999952316284
16142,1707342186.1,2.4756546020507812,,20.09999990463257
16143,1707342186.15,2.450103759765625,,20.15000009536743
16144,1707342186.2,2.432220458984375,,20.200000047683716
16145,1707342186.25,2.4603271484375,,20.25
16146,1707342186.3,2.485877990722656,,20.299999952316284
16147,1707342186.35,2.4807662963867188,,20.34999990463257
16148,1707342186.4,2.47821044921875,,20.40000009536743
16149,1707342186.45,2.485877990722656,,20.450000047683716
16150,1707342186.5,2.4807662963867188,,20.5
16151,1707342186.55,2.4807662963867188,,20.549999952316284
16152,1707342186.6,2.4756546020507812,,20.59999990463257
16153,1707342186.65,2.450103759765625,,20.65000009536743
16154,1707342186.7,2.4296646118164062,,20.700000047683716
16155,1707342186.75,2.5855255126953125,,20.75
16156,1707342186.8,2.856353759765625,,20.799999952316284
16157,1707342186.85,3.270263671875,,20.84999990463257
16158,1707342186.9,3.4746627807617188,,20.90000009536743
16159,1707342186.95,3.5104293823242188,,20.950000047683716
16160,1707342187.0,3.502769470214844,,21.0
16161,1707342187.05,3.4210052490234375,,21.049999952316284
16162,1707342187.1,3.3418045043945312,,21.09999990463257
16163,1707342187.15,3.3366928100585938,,21.15000009536743
16164,1707342187.2,3.2472686767578125,,21.200000047683716
16165,1707342187.25,3.1731719970703125,,21.25
16166,1707342187.3,3.0990753173828125,,21.299999952316284
16167,1707342187.35,3.058197021484375,,21.34999990463257
16168,1707342187.4,2.984100341796875,,21.40000009536743
16169,1707342187.45,2.9355545043945312,,21.450000047683716
16170,1707342187.5,2.9151153564453125,,21.5
16171,1707342187.55,2.9176712036132812,,21.549999952316284
16172,1707342187.6,2.8819046020507812,,21.59999990463257
16173,1707342187.65,2.84613037109375,,21.65000009536743
16174,1707342187.7,2.8665695190429688,,21.700000047683716
16175,1707342187.75,2.92022705078125,,21.75
16176,1707342187.8,2.9687728881835938,,21.799999952316284
16177,1707342187.85,2.9713287353515625,,21.84999990463257
16178,1707342187.9,2.966217041015625,,21.90000009536743
16179,1707342187.95,2.966217041015625,,21.950000047683716
16180,1707342188.0,2.9611053466796875,,22.0
16181,1707342188.05,2.948333740234375,,22.049999952316284
16182,1707342188.1,2.9253387451171875,,22.09999990463257
16183,1707342188.15,2.9151153564453125,,22.15000009536743
16184,1707342188.2,2.8972320556640625,,22.200000047683716
16185,1707342188.25,2.88446044921875,,22.25
16186,1707342188.3,2.8819046020507812,,22.299999952316284
16187,1707342188.35,2.90234375,,22.34999990463257
16188,1707342188.4,2.927894592285156,,22.40000009536743
16189,1707342188.45,2.910003662109375,,22.450000047683716
16190,1707342188.5,2.864013671875,,22.5
16191,1707342188.55,2.8486862182617188,,22.549999952316284
