,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
9416,1705870817.8,8.845268249511719,,0.0
9417,1705870817.85,9.550453186035156,,0.04999995231628418
9418,1705870817.9,9.961807250976562,,0.10000014305114746
9419,1705870817.95,10.362945556640623,,0.15000009536743164
9420,1705870818.0,10.633773803710938,,0.20000004768371582
9421,1705870818.05,11.131996154785156,,0.25
9422,1705870818.1,11.484588623046877,,0.2999999523162842
9423,1705870818.15,11.926605224609377,,0.35000014305114746
9424,1705870818.2,12.138664245605469,,0.40000009536743164
9425,1705870818.25,12.314964294433594,,0.4500000476837158
9426,1705870818.3,12.215316772460938,,0.5
9427,1705870818.35,11.645553588867188,,0.5499999523162842
9428,1705870818.4,11.119224548339844,,0.6000001430511475
9429,1705870818.45,10.322059631347656,,0.6500000953674316
9430,1705870818.5,9.851943969726562,,0.7000000476837158
9431,1705870818.55,9.167198181152346,,0.75
9432,1705870818.6,8.67919921875,,0.7999999523162842
9433,1705870818.65,8.099212646484375,,0.8500001430511475
9434,1705870818.7,7.81560516357422,,0.9000000953674316
9435,1705870818.75,7.42724609375,,0.9500000476837158
9436,1705870818.8,7.158973693847656,,1.0
9437,1705870818.85,6.70928955078125,,1.0499999523162842
9438,1705870818.9,6.407798767089844,,1.1000001430511475
9439,1705870818.95,5.9504547119140625,,1.1500000953674316
9440,1705870819.0,5.671958923339844,,1.2000000476837158
9441,1705870819.05,5.439460754394531,,1.25
9442,1705870819.1,5.447120666503906,,1.2999999523162842
9443,1705870819.15,5.78693389892578,,1.3500001430511475
9444,1705870819.2,6.19573974609375,,1.4000000953674316
9445,1705870819.25,6.992897033691406,,1.4500000476837158
9446,1705870819.3,7.5984344482421875,,1.5
9447,1705870819.35,8.3470458984375,,1.5499999523162842
9448,1705870819.4,8.658760070800781,,1.6000001430511475
9449,1705870819.45,8.939804077148438,,1.6500000953674316
9450,1705870819.5,9.07011413574219,,1.7000000476837158
9451,1705870819.55,9.215744018554688,,1.75
9452,1705870819.6,9.277069091796877,,1.7999999523162842
9453,1705870819.65,9.317947387695312,,1.8500001430511475
9454,1705870819.7,9.35882568359375,,1.9000000953674316
9455,1705870819.75,9.522346496582031,,1.9500000476837158
9456,1705870819.8,9.614326477050781,,2.0
9457,1705870819.85,9.586219787597656,,2.049999952316284
9458,1705870819.9,9.509574890136719,,2.1000001430511475
9459,1705870819.95,9.294952392578123,,2.1500000953674316
9460,1705870820.0,9.057334899902346,,2.200000047683716
9461,1705870820.05,8.576995849609375,,2.25
9462,1705870820.1,8.257621765136719,,2.299999952316284
9463,1705870820.15,7.830940246582032,,2.3500001430511475
9464,1705870820.2,7.51922607421875,,2.4000000953674316
9465,1705870820.25,6.957130432128906,,2.450000047683716
9466,1705870820.3,6.5866546630859375,,2.5
9467,1705870820.35,6.205955505371094,,2.549999952316284
9468,1705870820.4,5.95556640625,,2.6000001430511475
9469,1705870820.45,5.24016571044922,,2.6500000953674316
9470,1705870820.5,4.678070068359375,,2.700000047683716
9471,1705870820.55,4.031654357910156,,2.75
9472,1705870820.6,3.737823486328125,,2.799999952316284
9473,1705870820.65,3.5513153076171875,,2.8500001430511475
9474,1705870820.7,3.574310302734375,,2.9000000953674316
9475,1705870820.75,3.8553543090820312,,2.950000047683716
9476,1705870820.8,4.1747283935546875,,3.0
9477,1705870820.85,4.734275817871094,,3.049999952316284
9478,1705870820.9,5.1226348876953125,,3.1000001430511475
9479,1705870820.95,5.700065612792969,,3.1500000953674316
9480,1705870821.0,6.04499053955078,,3.200000047683716
9481,1705870821.05,6.395027160644531,,3.25
9482,1705870821.1,6.637748718261719,,3.299999952316284
9483,1705870821.15,7.120643615722656,,3.3500001430511475
9484,1705870821.2,7.4221343994140625,,3.4000000953674316
9485,1705870821.25,7.767059326171875,,3.450000047683716
9486,1705870821.3,7.876930236816406,,3.5
9487,1705870821.35,7.892257690429688,,3.549999952316284
9488,1705870821.4,7.8820343017578125,,3.6000001430511475
9489,1705870821.45,7.85393524169922,,3.6500000953674316
9490,1705870821.5,7.81560516357422,,3.700000047683716
9491,1705870821.55,7.802833557128905,,3.75
9492,1705870821.6,7.738960266113281,,3.799999952316284
9493,1705870821.65,7.544776916503905,,3.8500001430511475
9494,1705870821.7,7.468124389648437,,3.9000000953674316
9495,1705870821.75,7.465568542480469,,3.950000047683716
9496,1705870821.8,7.48345947265625,,4.0
9497,1705870821.85,7.383811950683594,,4.049999952316284
9498,1705870821.9,7.263725280761719,,4.1000001430511475
9499,1705870821.95,7.07976531982422,,4.150000095367432
9500,1705870822.0,6.998008728027344,,4.200000047683716
9501,1705870822.05,7.0235595703125,,4.25
9502,1705870822.1,7.1564178466796875,,4.299999952316284
9503,1705870822.15,7.383811950683594,,4.3500001430511475
9504,1705870822.2,7.396583557128905,,4.400000095367432
9505,1705870822.25,7.309715270996095,,4.450000047683716
9506,1705870822.3,7.29949951171875,,4.5
9507,1705870822.35,7.373588562011719,,4.549999952316284
9508,1705870822.4,7.44512939453125,,4.6000001430511475
9509,1705870822.45,7.48601531982422,,4.650000095367432
9510,1705870822.5,7.5141143798828125,,4.700000047683716
9511,1705870822.55,7.585655212402344,,4.75
9512,1705870822.6,7.521781921386719,,4.799999952316284
9513,1705870822.65,7.217735290527344,,4.8500001430511475
9514,1705870822.7,7.11553955078125,,4.900000095367432
9515,1705870822.75,7.143638610839844,,4.950000047683716
9516,1705870822.8,7.102760314941406,,5.0
9517,1705870822.85,7.049110412597656,,5.049999952316284
9518,1705870822.9,7.069549560546875,,5.1000001430511475
9519,1705870822.95,7.084877014160156,,5.150000095367432
9520,1705870823.0,7.059326171875,,5.200000047683716
9521,1705870823.05,7.026115417480469,,5.25
9522,1705870823.1,7.015892028808594,,5.299999952316284
9523,1705870823.15,6.941795349121094,,5.3500001430511475
9524,1705870823.2,6.849815368652344,,5.400000095367432
9525,1705870823.25,6.768058776855469,,5.450000047683716
9526,1705870823.3,6.762947082519531,,5.5
9527,1705870823.35,6.7322845458984375,,5.549999952316284
9528,1705870823.4,6.722068786621094,,5.6000001430511475
9529,1705870823.45,6.74761962890625,,5.650000095367432
9530,1705870823.5,6.768058776855469,,5.700000047683716
9531,1705870823.55,6.814048767089844,,5.75
9532,1705870823.6,6.86003875732422,,5.799999952316284
9533,1705870823.65,6.9264678955078125,,5.8500001430511475
9534,1705870823.7,6.946907043457031,,5.900000095367432
9535,1705870823.75,6.923912048339844,,5.950000047683716
9536,1705870823.8,6.877922058105469,,6.0
9537,1705870823.85,6.814048767089844,,6.049999952316284
9538,1705870823.9,6.739952087402344,,6.1000001430511475
9539,1705870823.95,6.609649658203125,,6.150000095367432
9540,1705870824.0,6.591758728027344,,6.200000047683716
9541,1705870824.05,6.676078796386719,,6.25
9542,1705870824.1,6.7425079345703125,,6.299999952316284
9543,1705870824.15,6.74761962890625,,6.3500001430511475
9544,1705870824.2,6.70928955078125,,6.400000095367432
9545,1705870824.25,6.6862945556640625,,6.450000047683716
9546,1705870824.3,6.69140625,,6.5
9547,1705870824.35,6.642860412597656,,6.549999952316284
9548,1705870824.4,6.578987121582031,,6.6000001430511475
9549,1705870824.45,6.479339599609375,,6.650000095367432
9550,1705870824.5,6.3975830078125,,6.700000047683716
9551,1705870824.55,6.3464813232421875,,6.75
9552,1705870824.6,6.372032165527344,,6.799999952316284
9553,1705870824.65,6.407798767089844,,6.8500001430511475
9554,1705870824.7,6.405250549316406,,6.900000095367432
9555,1705870824.75,6.387359619140625,,6.950000047683716
9556,1705870824.8,6.407798767089844,,7.0
9557,1705870824.85,6.6965179443359375,,7.049999952316284
9558,1705870824.9,7.2024078369140625,,7.1000001430511475
9559,1705870824.95,8.249954223632812,,7.150000095367432
9560,1705870825.0,8.914253234863281,,7.200000047683716
9561,1705870825.05,9.685867309570312,,7.25
9562,1705870825.1,10.046119689941406,,7.299999952316284
9563,1705870825.15,10.1866455078125,,7.3500001430511475
9564,1705870825.2,10.012908935546877,,7.400000095367432
9565,1705870825.25,9.79828643798828,,7.450000047683716
9566,1705870825.3,9.742080688476562,,7.5
9567,1705870825.35,9.604110717773438,,7.549999952316284
9568,1705870825.4,9.473800659179688,,7.6000001430511475
9569,1705870825.45,9.310279846191406,,7.650000095367432
9570,1705870825.5,9.236183166503906,,7.700000047683716
9571,1705870825.55,9.146759033203123,,7.75
9572,1705870825.6,8.978134155273438,,7.799999952316284
