,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
7446,1707176370.3,3.942230224609375,,0.0
7447,1707176370.35,3.6790618896484375,,0.04999995231628418
7448,1707176370.4,3.352020263671875,,0.10000014305114746
7449,1707176370.45,3.369903564453125,,0.15000009536743164
7450,1707176370.5,3.916679382324219,,0.20000004768371582
7451,1707176370.55,4.473663330078125,,0.25
7452,1707176370.6,5.3168182373046875,,0.2999999523162842
7453,1707176370.65,5.817596435546875,,0.35000014305114746
7454,1707176370.7,6.58154296875,,0.40000009536743164
7455,1707176370.75,7.169189453125,,0.4500000476837158
7456,1707176370.8,7.8692626953125,,0.5
7457,1707176370.85,7.6801910400390625,,0.5499999523162842
7458,1707176370.9,6.423133850097656,,0.6000001430511475
7459,1707176370.95,5.75627899169922,,0.6500000953674316
7460,1707176371.0,5.531440734863281,,0.7000000476837158
7461,1707176371.05,5.5748748779296875,,0.75
7462,1707176371.1,5.526329040527344,,0.7999999523162842
7463,1707176371.15,5.3909149169921875,,0.8500001430511475
7464,1707176371.2,5.0868682861328125,,0.9000000953674316
7465,1707176371.25,4.836479187011719,,0.9500000476837158
7466,1707176371.3,4.343360900878906,,1.0
7467,1707176371.35,4.09552764892578,,1.0499999523162842
7468,1707176371.4,4.1389617919921875,,1.1000001430511475
7469,1707176371.45,4.236053466796875,,1.1500000953674316
7470,1707176371.5,4.24371337890625,,1.2000000476837158
7471,1707176371.55,4.169624328613281,,1.25
7472,1707176371.6,3.98822021484375,,1.2999999523162842
7473,1707176371.65,3.909011840820313,,1.3500001430511475
7474,1707176371.7,3.9703292846679688,,1.4000000953674316
7475,1707176371.75,4.0290985107421875,,1.4500000476837158
7476,1707176371.8,3.8425827026367183,,1.5
7477,1707176371.85,3.6330718994140625,,1.5499999523162842
7478,1707176371.9,3.4772186279296875,,1.6000001430511475
7479,1707176371.95,3.4695510864257812,,1.6500000953674316
7480,1707176372.0,3.4005661010742188,,1.7000000476837158
7481,1707176372.05,3.2038345336914062,,1.75
7482,1707176372.1,2.800140380859375,,1.7999999523162842
7483,1707176372.15,2.7694854736328125,,1.8500001430511475
7484,1707176372.2,3.4312286376953125,,1.9000000953674316
7485,1707176372.25,4.131294250488281,,1.9500000476837158
7486,1707176372.3,5.431793212890625,,2.0
7487,1707176372.35,6.48956298828125,,2.049999952316284
7488,1707176372.4,7.930580139160157,,2.1000001430511475
7489,1707176372.45,8.472244262695312,,2.1500000953674316
7490,1707176372.5,7.974014282226563,,2.200000047683716
7491,1707176372.55,7.0644378662109375,,2.25
7492,1707176372.6,6.129310607910156,,2.299999952316284
7493,1707176372.65,5.728172302246094,,2.3500001430511475
7494,1707176372.7,4.887580871582031,,2.4000000953674316
7495,1707176372.75,4.4506683349609375,,2.450000047683716
7496,1707176372.8,4.376579284667969,,2.5
7497,1707176372.85,4.46344757080078,,2.549999952316284
7498,1707176372.9,4.486442565917969,,2.6000001430511475
7499,1707176372.95,4.381683349609375,,2.6500000953674316
7500,1707176373.0,4.1747283935546875,,2.700000047683716
7501,1707176373.05,4.054649353027344,,2.75
7502,1707176373.1,3.9013442993164062,,2.799999952316284
7503,1707176373.15,3.8425827026367183,,2.8500001430511475
7504,1707176373.2,3.6943893432617183,,2.9000000953674316
7505,1707176373.25,3.622848510742187,,2.950000047683716
7506,1707176373.3,3.663734436035156,,3.0
7507,1707176373.35,3.696945190429687,,3.049999952316284
7508,1707176373.4,3.6407394409179688,,3.1000001430511475
7509,1707176373.45,3.479774475097656,,3.1500000953674316
7510,1707176373.5,3.1195144653320312,,3.200000047683716
7511,1707176373.55,3.01220703125,,3.25
7512,1707176373.6,3.0556411743164062,,3.299999952316284
7513,1707176373.65,3.03009033203125,,3.3500001430511475
7514,1707176373.7,3.0275344848632812,,3.4000000953674316
7515,1707176373.75,3.1450653076171875,,3.450000047683716
7516,1707176373.8,3.244712829589844,,3.5
7517,1707176373.85,3.2038345336914062,,3.549999952316284
7518,1707176373.9,3.1220703125,,3.6000001430511475
7519,1707176373.95,3.0530853271484375,,3.6500000953674316
7520,1707176374.0,2.9687728881835938,,3.700000047683716
7521,1707176374.05,2.9738845825195312,,3.75
7522,1707176374.1,2.9713287353515625,,3.799999952316284
7523,1707176374.15,2.92022705078125,,3.8500001430511475
7524,1707176374.2,2.7592620849609375,,3.9000000953674316
7525,1707176374.25,2.62640380859375,,3.950000047683716
7526,1707176374.3,2.598297119140625,,4.0
7527,1707176374.35,2.743934631347656,,4.049999952316284
7528,1707176374.4,2.9253387451171875,,4.1000001430511475
7529,1707176374.45,2.9406661987304688,,4.150000095367432
7530,1707176374.5,2.9406661987304688,,4.200000047683716
7531,1707176374.55,2.8819046020507812,,4.25
7532,1707176374.6,2.634063720703125,,4.299999952316284
7533,1707176374.65,2.434776306152344,,4.3500001430511475
7534,1707176374.7,2.1613922119140625,,4.400000095367432
7535,1707176374.75,2.1511688232421875,,4.450000047683716
7536,1707176374.8,2.669837951660156,,4.5
7537,1707176374.85,3.3060302734375,,4.549999952316284
7538,1707176374.9,4.437896728515625,,4.6000001430511475
7539,1707176374.95,5.3065948486328125,,4.650000095367432
7540,1707176375.0,6.75017547607422,,4.700000047683716
7541,1707176375.05,7.57799530029297,,4.75
7542,1707176375.1,8.002120971679688,,4.799999952316284
7543,1707176375.15,7.414474487304688,,4.8500001430511475
7544,1707176375.2,6.04754638671875,,4.900000095367432
7545,1707176375.25,5.487998962402344,,4.950000047683716
7546,1707176375.3,5.135414123535156,,5.0
7547,1707176375.35,5.045989990234375,,5.049999952316284
7548,1707176375.4,4.951454162597656,,5.1000001430511475
7549,1707176375.45,4.915679931640625,,5.150000095367432
7550,1707176375.5,4.6627349853515625,,5.200000047683716
7551,1707176375.55,4.402130126953125,,5.25
7552,1707176375.6,4.297370910644531,,5.299999952316284
7553,1707176375.65,4.3791351318359375,,5.3500001430511475
7554,1707176375.7,4.514549255371094,,5.400000095367432
7555,1707176375.75,4.468559265136719,,5.450000047683716
7556,1707176375.8,4.13385009765625,,5.5
7557,1707176375.85,3.9345626831054688,,5.549999952316284
7558,1707176375.9,3.8630218505859375,,5.6000001430511475
7559,1707176375.95,3.7403793334960938,,5.650000095367432
7560,1707176376.0,3.2932586669921875,,5.700000047683716
7561,1707176376.05,3.0888595581054688,,5.75
7562,1707176376.1,3.1757278442382812,,5.799999952316284
7563,1707176376.15,3.3596878051757812,,5.8500001430511475
7564,1707176376.2,3.502769470214844,,5.900000095367432
7565,1707176376.25,3.482330322265625,,5.950000047683716
7566,1707176376.3,3.4158935546875,,6.0
7567,1707176376.35,3.4107894897460938,,6.049999952316284
7568,1707176376.4,3.4107894897460938,,6.1000001430511475
7569,1707176376.45,3.3366928100585938,,6.150000095367432
7570,1707176376.5,3.2344894409179688,,6.200000047683716
7571,1707176376.55,3.242156982421875,,6.25
7572,1707176376.6,3.2396011352539062,,6.299999952316284
7573,1707176376.65,3.1884994506835938,,6.3500001430511475
7574,1707176376.7,3.0454254150390625,,6.400000095367432
7575,1707176376.75,2.9406661987304688,,6.450000047683716
7576,1707176376.8,2.9227828979492188,,6.5
7577,1707176376.85,3.0505294799804688,,6.549999952316284
7578,1707176376.9,3.1552886962890625,,6.6000001430511475
7579,1707176376.95,3.096519470214844,,6.650000095367432
7580,1707176377.0,3.0811920166015625,,6.700000047683716
7581,1707176377.05,3.0811920166015625,,6.75
7582,1707176377.1,2.892120361328125,,6.799999952316284
7583,1707176377.15,2.669837951660156,,6.8500001430511475
7584,1707176377.2,2.301918029785156,,6.900000095367432
7585,1707176377.25,2.082183837890625,,6.950000047683716
7586,1707176377.3,1.8956756591796875,,7.0
7587,1707176377.35,1.9774322509765625,,7.049999952316284
7588,1707176377.4,2.399009704589844,,7.1000001430511475
7589,1707176377.45,2.8410186767578125,,7.150000095367432
7590,1707176377.5,3.689285278320313,,7.200000047683716
7591,1707176377.55,4.2590484619140625,,7.25
7592,1707176377.6,5.140525817871094,,7.299999952316284
7593,1707176377.65,5.82781982421875,,7.3500001430511475
7594,1707176377.7,6.82170867919922,,7.400000095367432
7595,1707176377.75,7.056770324707031,,7.450000047683716
