Unnamed: 0,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
9704,1711751559.2,4.253936767578125,,0.0
9705,1711751559.25,4.38935089111328,,0.04999995231628418
9706,1711751559.3,4.560539245605469,,0.09999990463256836
9707,1711751559.35,4.603973388671875,,0.14999985694885254
9708,1711751559.4,4.6090850830078125,,0.20000004768371937
9709,1711751559.45,4.545204162597656,,0.25
9710,1711751559.5,4.338249206542969,,0.2999999523162842
9711,1711751559.55,4.138961791992188,,0.34999990463256836
9712,1711751559.6,3.842582702636719,,0.39999985694885254
9713,1711751559.65,3.661178588867188,,0.4500000476837194
9714,1711751559.7,3.461883544921875,,0.5
9715,1711751559.75,3.4848785400390625,,0.5499999523162842
9716,1711751559.8,3.645843505859375,,0.5999999046325684
9717,1711751559.85,3.625404357910156,,0.6499998569488525
9718,1711751559.9,3.380126953125,,0.7000000476837194
9719,1711751559.95,3.23193359375,,0.75
9720,1711751560.0,3.1246261596679688,,0.7999999523162842
9721,1711751560.05,3.1220703125,,0.8499999046325684
9722,1711751560.1,3.1731719970703125,,0.8999998569488525
9723,1711751560.15,3.237045288085937,,0.9500000476837194
9724,1711751560.2,3.3443603515625,,1.0
9725,1711751560.25,3.426116943359375,,1.0499999523162842
9726,1711751560.3,3.574310302734375,,1.0999999046325684
9727,1711751560.35,3.684173583984375,,1.1499998569488525
9728,1711751560.4,3.8170318603515625,,1.2000000476837194
9729,1711751560.45,3.873245239257813,,1.25
9730,1711751560.5,3.942230224609375,,1.2999999523162842
9731,1711751560.55,3.98822021484375,,1.3499999046325684
9732,1711751560.6,4.008659362792969,,1.3999998569488525
9733,1711751560.65,3.990768432617188,,1.4500000476837194
9734,1711751560.7,3.9626693725585938,,1.5
9735,1711751560.75,3.9294509887695312,,1.5499999523162842
9736,1711751560.8,3.880905151367188,,1.5999999046325684
9737,1711751560.85,3.98822021484375,,1.6499998569488525
9738,1711751560.9,4.741943359375,,1.7000000476837194
9739,1711751560.95,5.648963928222656,,1.75
9740,1711751561.0,7.1002044677734375,,1.7999999523162842
9741,1711751561.05,7.823272705078125,,1.8499999046325684
9742,1711751561.1,8.462020874023438,,1.8999998569488525
9743,1711751561.15,8.661308288574217,,1.9500000476837194
9744,1711751561.2,8.658760070800781,,2.0
9745,1711751561.25,8.39814758300781,,2.049999952316284
9746,1711751561.3,7.951019287109375,,2.0999999046325684
9747,1711751561.35,7.787498474121095,,2.1499998569488525
9748,1711751561.4,7.590766906738281,,2.2000000476837194
9749,1711751561.45,7.529449462890625,,2.25
9750,1711751561.5,7.62653350830078,,2.299999952316284
9751,1711751561.55,7.731292724609375,,2.3499999046325684
9752,1711751561.6,7.715965270996093,,2.3999998569488525
9753,1711751561.65,7.600990295410157,,2.4500000476837194
9754,1711751561.7,7.348045349121095,,2.5
9755,1711751561.75,7.092544555664063,,2.549999952316284
9756,1711751561.8,6.5483245849609375,,2.5999999046325684
9757,1711751561.85,6.188072204589844,,2.6499998569488525
9758,1711751561.9,6.0424346923828125,,2.7000000476837194
9759,1711751561.95,6.223838806152344,,2.75
9760,1711751562.0,6.555992126464844,,2.799999952316284
9761,1711751562.05,6.63774871826172,,2.8499999046325684
9762,1711751562.1,6.550880432128905,,2.8999998569488525
9763,1711751562.15,6.476783752441406,,2.9500000476837194
9764,1711751562.2,6.323486328125,,3.0
9765,1711751562.25,6.085868835449219,,3.049999952316284
9766,1711751562.3,5.5467681884765625,,3.0999999046325684
9767,1711751562.35,5.304039001464844,,3.1499998569488525
9768,1711751562.4,5.31426239013672,,3.2000000476837194
9769,1711751562.45,5.4547882080078125,,3.25
9770,1711751562.5,5.60552978515625,,3.299999952316284
9771,1711751562.55,5.615753173828125,,3.3499999046325684
9772,1711751562.6,5.470115661621094,,3.3999998569488525
9773,1711751562.65,5.245277404785156,,3.4500000476837194
9774,1711751562.7,4.764938354492188,,3.5
9775,1711751562.75,4.38935089111328,,3.549999952316284
9776,1711751562.8,3.911567687988281,,3.5999999046325684
9777,1711751562.85,3.69183349609375,,3.6499998569488525
9778,1711751562.9,3.4848785400390625,,3.700000047683723
9779,1711751562.95,3.43634033203125,,3.75
9780,1711751563.0,3.4516677856445312,,3.799999952316284
9781,1711751563.05,3.5104293823242188,,3.8499999046325684
9782,1711751563.1,3.607521057128906,,3.8999998569488525
9783,1711751563.15,3.65606689453125,,3.950000047683723
9784,1711751563.2,3.684173583984375,,4.0
9785,1711751563.25,3.6765060424804688,,4.049999952316284
9786,1711751563.3,3.6765060424804688,,4.099999904632568
9787,1711751563.35,3.699501037597656,,4.1499998569488525
9788,1711751563.4,3.776153564453125,,4.200000047683723
9789,1711751563.45,3.781265258789064,,4.25
9790,1711751563.5,3.6407394409179688,,4.299999952316284
9791,1711751563.55,3.50787353515625,,4.349999904632568
9792,1711751563.6,3.4031219482421875,,4.3999998569488525
9793,1711751563.65,3.569198608398437,,4.450000047683723
9794,1711751563.7,4.399574279785156,,4.5
9795,1711751563.75,5.258049011230469,,4.549999952316284
9796,1711751563.8,6.56110382080078,,4.599999904632568
9797,1711751563.85,7.268836975097656,,4.6499998569488525
9798,1711751563.9,7.984237670898437,,4.700000047683723
9799,1711751563.95,8.109428405761719,,4.75
9800,1711751564.0,7.79261016845703,28.846155166625977,4.799999952316284
9801,1711751564.05,7.565216064453125,,4.849999904632568
9802,1711751564.1,7.6520843505859375,,4.8999998569488525
9803,1711751564.15,7.746620178222656,,4.950000047683723
9804,1711751564.2,7.8615951538085955,,5.0
9805,1711751564.25,8.03533935546875,,5.049999952316284
9806,1711751564.3,8.152870178222656,,5.099999904632568
9807,1711751564.35,8.078773498535154,,5.1499998569488525
9808,1711751564.4,7.889701843261719,,5.200000047683723
9809,1711751564.45,7.769615173339843,,5.25
9810,1711751564.5,7.608650207519531,,5.299999952316284
9811,1711751564.55,7.509010314941406,,5.349999904632568
9812,1711751564.6,7.169189453125,,5.3999998569488525
9813,1711751564.65,6.8753662109375,,5.450000047683723
9814,1711751564.7,6.576431274414063,,5.5
9815,1711751564.75,6.446128845214844,,5.549999952316284
9816,1711751564.8,6.236618041992188,,5.599999904632568
9817,1711751564.85,6.078208923339844,,5.6499998569488525
9818,1711751564.9,5.9964447021484375,,5.700000047683723
9819,1711751564.95,6.088424682617188,,5.75
9820,1711751565.0,6.315818786621094,,5.799999952316284
9821,1711751565.05,6.423133850097656,,5.849999904632568
9822,1711751565.1,6.30304718017578,,5.8999998569488525
9823,1711751565.15,6.085868835449219,,5.950000047683723
9824,1711751565.2,5.610641479492188,,6.0
9825,1711751565.25,5.186515808105469,,6.049999952316284
9826,1711751565.3,4.542648315429688,,6.099999904632568
9827,1711751565.35,4.1900634765625,,6.1499998569488525
9828,1711751565.4,3.7914810180664062,,6.200000047683723
9829,1711751565.45,3.5845260620117188,,6.25
9830,1711751565.5,3.369903564453125,,6.299999952316284
9831,1711751565.55,3.277923583984375,,6.349999904632568
9832,1711751565.6,3.346908569335937,,6.3999998569488525
9833,1711751565.65,3.725051879882813,,6.450000047683723
9834,1711751565.7,4.826255798339844,,6.5
9835,1711751565.75,5.700065612792969,,6.549999952316284
9836,1711751565.8,6.85492706298828,,6.599999904632568
9837,1711751565.85,7.457908630371095,,6.6499998569488525
9838,1711751565.9,8.142646789550781,,6.700000047683723
9839,1711751565.95,8.3470458984375,,6.75
9840,1711751566.0,7.764503479003905,,6.799999952316284
9841,1711751566.05,7.166633605957031,,6.849999904632568
9842,1711751566.1,6.888145446777344,,6.8999998569488525
9843,1711751566.15,6.977569580078125,,6.950000047683723
9844,1711751566.2,7.158973693847656,,7.0
9845,1711751566.25,7.143638610839844,,7.049999952316284
9846,1711751566.3,6.663299560546875,,7.099999904632568
9847,1711751566.35,6.129310607910156,,7.1499998569488525
9848,1711751566.4,5.664299011230469,,7.200000047683723
9849,1711751566.45,5.664299011230469,,7.25
9850,1711751566.5,5.67707061767578,,7.299999952316284
9851,1711751566.55,5.610641479492188,,7.349999904632568
9852,1711751566.6,5.4547882080078125,,7.3999998569488525
9853,1711751566.65,5.281044006347656,,7.450000047683723
9854,1711751566.7,4.923347473144531,,7.5
9855,1711751566.75,4.729164123535156,,7.549999952316291
9856,1711751566.8,4.698509216308594,,7.599999904632568
9857,1711751566.85,4.79814910888672,,7.6499998569488525
9858,1711751566.9,4.895240783691406,,7.700000047683723
9859,1711751566.95,4.803260803222656,,7.75
9860,1711751567.0,4.517105102539063,,7.799999952316291
9861,1711751567.05,4.361244201660156,,7.849999904632568
9862,1711751567.1,4.302482604980469,,7.8999998569488525
9863,1711751567.15,4.358688354492188,,7.950000047683723
9864,1711751567.2,4.363800048828125,,8.0
9865,1711751567.25,4.2769317626953125,,8.049999952316291
9866,1711751567.3,4.187507629394531,,8.099999904632568
9867,1711751567.35,4.256492614746094,,8.149999856948853
9868,1711751567.4,4.371467590332031,,8.200000047683723
9869,1711751567.45,4.361244201660156,,8.25
9870,1711751567.5,4.371467590332031,,8.299999952316291
9871,1711751567.55,4.432785034179688,,8.349999904632568
9872,1711751567.6,4.4149017333984375,,8.399999856948853
9873,1711751567.65,4.251380920410156,,8.450000047683723
9874,1711751567.7,3.9728851318359375,,8.5
9875,1711751567.75,4.008659362792969,,8.549999952316291
9876,1711751567.8,4.713836669921875,,8.599999904632568
9877,1711751567.85,5.585090637207031,,8.649999856948853
9878,1711751567.9,6.834487915039063,,8.700000047683723
9879,1711751567.95,7.381256103515625,,8.75
9880,1711751568.0,7.984237670898437,,8.799999952316291
9881,1711751568.05,8.278060913085938,,8.849999904632568
9882,1711751568.1,8.354713439941406,,8.899999856948853
9883,1711751568.15,8.009788513183594,,8.950000047683723
9884,1711751568.2,7.325050354003905,,9.0
9885,1711751568.25,7.123199462890625,,9.049999952316291
9886,1711751568.3,7.164085388183594,,9.099999904632568
9887,1711751568.35,7.202407836914063,,9.149999856948853
9888,1711751568.4,7.084877014160156,,9.200000047683723
9889,1711751568.45,6.93413543701172,,9.25
9890,1711751568.5,6.716957092285156,,9.299999952316291
9891,1711751568.55,6.660743713378905,,9.349999904632568
9892,1711751568.6,6.67096710205078,,9.399999856948853
9893,1711751568.65,6.67607879638672,,9.450000047683723
9894,1711751568.7,6.67096710205078,,9.5
