,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
8100,1707333500.0,2.7413787841796875,,0.0
8101,1707333500.05,2.8205795288085938,,0.04999995231628418
8102,1707333500.1,2.7950286865234375,,0.09999990463256836
8103,1707333500.15,2.779701232910156,,0.15000009536743164
8104,1707333500.2,2.8205795288085938,,0.20000004768371582
8105,1707333500.25,2.874237060546875,,0.25
8106,1707333500.3,2.950889587402344,,0.2999999523162842
8107,1707333500.35,3.2498245239257812,,0.34999990463256836
8108,1707333500.4,3.6713943481445312,,0.40000009536743164
8109,1707333500.45,4.473663330078125,,0.4500000476837158
8110,1707333500.5,5.3628082275390625,,0.5
8111,1707333500.55,6.01177978515625,,0.5499999523162842
8112,1707333500.6,6.837043762207031,,0.5999999046325684
8113,1707333500.65,7.271392822265625,,0.6500000953674316
8114,1707333500.7,7.68274688720703,,0.7000000476837158
8115,1707333500.75,8.129875183105469,,0.75
8116,1707333500.8,8.165641784667969,,0.7999999523162842
8117,1707333500.85,7.795166015625,,0.8499999046325684
8118,1707333500.9,7.345489501953125,,0.9000000953674316
8119,1707333500.95,6.74761962890625,,0.9500000476837158
8120,1707333501.0,6.5585479736328125,,1.0
8121,1707333501.05,6.469123840332031,,1.0499999523162842
8122,1707333501.1,6.4103546142578125,,1.0999999046325684
8123,1707333501.15,6.1804046630859375,,1.1500000953674316
8124,1707333501.2,6.08332061767578,,1.2000000476837158
8125,1707333501.25,6.177848815917969,,1.25
8126,1707333501.3,6.213623046875,,1.2999999523162842
8127,1707333501.35,6.159965515136719,,1.3499999046325684
8128,1707333501.4,6.175300598144531,,1.4000000953674316
8129,1707333501.45,6.1446380615234375,,1.4500000476837158
8130,1707333501.5,6.090980529785156,,1.5
8131,1707333501.55,6.257057189941406,,1.5499999523162842
8132,1707333501.6,6.443572998046875,,1.5999999046325684
8133,1707333501.65,6.441017150878906,,1.6500000953674316
8134,1707333501.7,6.351593017578125,,1.7000000476837158
8135,1707333501.75,6.338813781738281,,1.75
8136,1707333501.8,6.274940490722656,,1.7999999523162842
8137,1707333501.85,6.037330627441406,,1.8499999046325684
8138,1707333501.9,6.0526580810546875,,1.9000000953674316
8139,1707333501.95,6.23406219482422,,1.9500000476837158
8140,1707333502.0,6.1446380615234375,,2.0
8141,1707333502.05,5.8508148193359375,,2.049999952316284
8142,1707333502.1,5.784385681152344,,2.0999999046325684
8143,1707333502.15,5.707733154296875,,2.1500000953674316
8144,1707333502.2,5.595314025878906,,2.200000047683716
8145,1707333502.25,5.554435729980469,,2.25
8146,1707333502.3,5.597869873046875,,2.299999952316284
8147,1707333502.35,5.562095642089844,,2.3499999046325684
8148,1707333502.4,5.480339050292969,,2.4000000953674316
8149,1707333502.45,5.429237365722656,,2.450000047683716
8150,1707333502.5,5.413909912109375,,2.5
8151,1707333502.55,5.321929931640625,,2.549999952316284
8152,1707333502.6,5.3525848388671875,,2.5999999046325684
8153,1707333502.65,5.487998962402344,,2.6500000953674316
8154,1707333502.7,5.485450744628906,,2.700000047683716
8155,1707333502.75,5.4087982177734375,,2.75
8156,1707333502.8,5.365364074707031,,2.799999952316284
8157,1707333502.85,5.189064025878906,,2.8499999046325684
8158,1707333502.9,5.074089050292969,,2.9000000953674316
8159,1707333502.95,5.143074035644531,,2.950000047683716
8160,1707333503.0,5.212059020996094,,3.0
8161,1707333503.05,5.173736572265625,,3.049999952316284
8162,1707333503.1,5.1226348876953125,,3.0999999046325684
8163,1707333503.15,5.099639892578125,,3.1500000953674316
8164,1707333503.2,5.061317443847656,,3.200000047683716
8165,1707333503.25,5.033210754394531,,3.25
8166,1707333503.3,5.137969970703125,,3.299999952316284
8167,1707333503.35,5.296379089355469,,3.3499999046325684
8168,1707333503.4,5.3065948486328125,,3.4000000953674316
8169,1707333503.45,5.250389099121094,,3.450000047683716
8170,1707333503.5,5.229949951171875,,3.5
8171,1707333503.55,5.462455749511719,,3.549999952316284
8172,1707333503.6,5.894248962402344,,3.5999999046325684
8173,1707333503.65,6.699073791503906,,3.6500000953674316
8174,1707333503.7,7.161529541015625,,3.700000047683716
8175,1707333503.75,7.644424438476563,,3.75
8176,1707333503.8,7.879478454589843,,3.799999952316284
8177,1707333503.85,8.173309326171875,,3.8499999046325684
8178,1707333503.9,8.244850158691406,,3.9000000953674316
8179,1707333503.95,8.293388366699219,,3.950000047683716
8180,1707333504.0,8.321495056152344,,4.0
8181,1707333504.05,7.945915222167968,,4.049999952316284
8182,1707333504.1,7.348045349121095,,4.099999904632568
8183,1707333504.15,6.573875427246094,,4.150000095367432
8184,1707333504.2,6.4026947021484375,,4.200000047683716
8185,1707333504.25,6.165077209472656,,4.25
8186,1707333504.3,6.019439697265625,,4.299999952316284
8187,1707333504.35,6.0884246826171875,,4.349999904632568
8188,1707333504.4,6.1446380615234375,,4.400000095367432
8189,1707333504.45,6.004112243652344,,4.450000047683716
8190,1707333504.5,5.8865814208984375,,4.5
8191,1707333504.55,5.820152282714844,,4.549999952316284
8192,1707333504.6,5.6617431640625,,4.599999904632568
8193,1707333504.65,5.5186614990234375,,4.650000095367432
8194,1707333504.7,5.572319030761719,,4.700000047683716
8195,1707333504.75,5.579978942871094,,4.75
8196,1707333504.8,5.521217346191406,,4.799999952316284
8197,1707333504.85,5.365364074707031,,4.849999904632568
8198,1707333504.9,5.296379089355469,,4.900000095367432
8199,1707333504.95,5.194175720214844,,4.950000047683716
8200,1707333505.0,5.153297424316406,26.219955444335938,5.0
8201,1707333505.05,5.268272399902344,,5.049999952316284
8202,1707333505.1,5.3168182373046875,,5.099999904632568
8203,1707333505.15,5.283599853515625,,5.150000095367432
8204,1707333505.2,5.30915069580078,,5.200000047683716
8205,1707333505.25,5.337257385253906,,5.25
8206,1707333505.3,5.247833251953125,,5.299999952316284
8207,1707333505.35,5.24016571044922,,5.349999904632568
8208,1707333505.4,5.281044006347656,,5.400000095367432
8209,1707333505.45,5.079200744628906,,5.450000047683716
8210,1707333505.5,4.8748016357421875,,5.5
8211,1707333505.55,4.741943359375,,5.549999952316284
8212,1707333505.6,4.678070068359375,,5.599999904632568
8213,1707333505.65,4.5349884033203125,,5.650000095367432
8214,1707333505.7,4.59375,,5.700000047683716
8215,1707333505.75,4.7547149658203125,,5.75
8216,1707333505.8,4.726615905761719,,5.799999952316284
8217,1707333505.85,4.695953369140625,,5.849999904632568
8218,1707333505.9,4.7547149658203125,,5.900000095367432
8219,1707333505.95,4.698509216308594,,5.950000047683716
8220,1707333506.0,4.57586669921875,,6.0
8221,1707333506.05,4.637184143066406,,6.049999952316284
8222,1707333506.1,4.7777099609375,,6.099999904632568
8223,1707333506.15,4.8748016357421875,,6.150000095367432
8224,1707333506.2,4.91057586669922,,6.200000047683716
8225,1707333506.25,4.9770050048828125,,6.25
8226,1707333506.3,4.854362487792969,,6.299999952316284
8227,1707333506.35,4.48388671875,,6.349999904632568
8228,1707333506.4,4.320365905761719,,6.400000095367432
8229,1707333506.45,3.990768432617187,,6.450000047683716
8230,1707333506.5,3.627960205078125,,6.5
8231,1707333506.55,3.1169586181640625,,6.549999952316284
8232,1707333506.6,2.9687728881835938,,6.599999904632568
8233,1707333506.65,2.9892120361328125,,6.650000095367432
8234,1707333506.7,3.058197021484375,,6.700000047683716
8235,1707333506.75,3.206390380859375,,6.75
8236,1707333506.8,3.270263671875,,6.799999952316284
8237,1707333506.85,3.2472686767578125,,6.849999904632568
8238,1707333506.9,3.1067428588867188,,6.900000095367432
8239,1707333506.95,2.7567062377929688,,6.950000047683716
8240,1707333507.0,2.5139846801757812,,7.0
8241,1707333507.05,2.2763671875,,7.049999952316284
8242,1707333507.1,2.2354888916015625,,7.099999904632568
8243,1707333507.15,2.378570556640625,,7.150000095367432
8244,1707333507.2,2.81036376953125,,7.200000047683716
8245,1707333507.25,3.955001831054687,,7.25
8246,1707333507.3,4.7828216552734375,,7.299999952316284
8247,1707333507.35,5.807380676269531,,7.349999904632568
8248,1707333507.4,6.280052185058594,,7.400000095367432
8249,1707333507.45,6.4563446044921875,,7.450000047683716
8250,1707333507.5,6.067985534667969,,7.5
8251,1707333507.55,5.2938232421875,,7.549999952316284
8252,1707333507.6,5.010215759277344,,7.599999904632568
8253,1707333507.65,4.8748016357421875,,7.650000095367432
8254,1707333507.7,4.744499206542969,,7.700000047683716
8255,1707333507.75,4.5196533203125,,7.75
8256,1707333507.8,4.555427551269531,,7.799999952316284
8257,1707333507.85,4.7189483642578125,,7.849999904632568
8258,1707333507.9,4.7470550537109375,,7.900000095367432
8259,1707333507.95,4.7649383544921875,,7.950000047683716
8260,1707333508.0,4.785377502441406,,8.0
8261,1707333508.05,4.6269683837890625,,8.049999952316284
8262,1707333508.1,4.5630950927734375,,8.099999904632568
8263,1707333508.15,4.7470550537109375,,8.150000095367432
8264,1707333508.2,4.83136749267578,,8.200000047683716
8265,1707333508.25,4.7828216552734375,,8.25
8266,1707333508.3,4.757270812988281,,8.299999952316284
8267,1707333508.35,4.642295837402344,,8.349999904632568
8268,1707333508.4,4.399574279785156,,8.400000095367432
8269,1707333508.45,4.48388671875,,8.450000047683716
8270,1707333508.5,5.05364990234375,,8.5
8271,1707333508.55,6.004112243652344,,8.549999952316284
8272,1707333508.6,6.755279541015625,,8.599999904632568
8273,1707333508.65,7.18708038330078,,8.650000095367432
8274,1707333508.7,7.473236083984375,,8.700000047683716
8275,1707333508.75,7.414474487304688,,8.75
8276,1707333508.8,7.003120422363281,,8.799999952316284
8277,1707333508.85,6.6045379638671875,,8.849999904632568
8278,1707333508.9,6.039878845214844,,8.900000095367432
8279,1707333508.95,5.8405914306640625,,8.950000047683716
8280,1707333509.0,5.7767181396484375,,9.0
8281,1707333509.05,5.6668548583984375,,9.049999952316284
8282,1707333509.1,5.406242370605469,,9.099999904632568
8283,1707333509.15,5.158409118652344,,9.150000095367432
8284,1707333509.2,5.229949951171875,,9.200000047683716
8285,1707333509.25,5.3168182373046875,,9.25
8286,1707333509.3,5.304039001464844,,9.299999952316284
8287,1707333509.35,5.2887115478515625,,9.349999904632568
8288,1707333509.4,5.227394104003906,,9.400000095367432
8289,1707333509.45,4.9667816162109375,,9.450000047683716
8290,1707333509.5,4.867134094238281,,9.5
8291,1707333509.55,4.8926849365234375,,9.549999952316284
8292,1707333509.6,4.864585876464844,,9.599999904632568
8293,1707333509.65,4.7368316650390625,,9.650000095367432
8294,1707333509.7,4.670402526855469,,9.700000047683716
8295,1707333509.75,4.532432556152344,,9.75
8296,1707333509.8,4.371467590332031,,9.799999952316284
8297,1707333509.85,4.2590484619140625,,9.849999904632568
8298,1707333509.9,4.307594299316406,,9.900000095367432
8299,1707333509.95,4.35614013671875,,9.950000047683716
8300,1707333510.0,4.223274230957031,,10.0
8301,1707333510.05,4.090415954589844,,10.049999952316284
8302,1707333510.1,3.9754409790039062,,10.099999904632568
8303,1707333510.15,3.8144760131835938,,10.150000095367432
8304,1707333510.2,3.809364318847656,,10.200000047683716
8305,1707333510.25,3.9728851318359375,,10.25
8306,1707333510.3,4.0418701171875,,10.299999952316284
8307,1707333510.35,4.072532653808594,,10.349999904632568
8308,1707333510.4,4.09808349609375,,10.400000095367432
8309,1707333510.45,4.0418701171875,,10.450000047683716
8310,1707333510.5,3.5973052978515625,,10.5
8311,1707333510.55,3.1884994506835938,,10.549999952316284
8312,1707333510.6,2.6366195678710938,,10.599999904632568
8313,1707333510.65,2.3300247192382812,,10.650000095367432
8314,1707333510.7,2.0847396850585938,,10.700000047683716
8315,1707333510.75,1.92633056640625,,10.75
8316,1707333510.8,1.9621047973632812,,10.799999952316284
8317,1707333510.85,2.056640625,,10.849999904632568
8318,1707333510.9,2.1613922119140625,,10.900000095367432
8319,1707333510.95,2.2814788818359375,,10.950000047683716
8320,1707333511.0,2.29425048828125,,11.0
8321,1707333511.05,2.2559280395507812,,11.049999952316284
8322,1707333511.1,2.2891387939453125,,11.099999904632568
8323,1707333511.15,2.3479080200195312,,11.150000095367432
8324,1707333511.2,2.322357177734375,,11.200000047683716
8325,1707333511.25,2.3479080200195312,,11.25
8326,1707333511.3,2.3913421630859375,,11.299999952316284
8327,1707333511.35,2.33258056640625,,11.349999904632568
8328,1707333511.4,2.47821044921875,,11.400000095367432
8329,1707333511.45,2.90234375,,11.450000047683716
8330,1707333511.5,3.8553543090820312,,11.5
8331,1707333511.55,4.5528717041015625,,11.549999952316284
8332,1707333511.6,5.531440734863281,,11.599999904632568
8333,1707333511.65,6.0526580810546875,,11.650000095367432
8334,1707333511.7,6.469123840332031,,11.700000047683716
8335,1707333511.75,6.92902374267578,,11.75
8336,1707333511.8,7.125755310058594,,11.799999952316284
8337,1707333511.85,6.85748291015625,,11.849999904632568
8338,1707333511.9,6.19318389892578,,11.900000095367432
8339,1707333511.95,5.3347015380859375,,11.950000047683716
8340,1707333512.0,5.135414123535156,,12.0
8341,1707333512.05,4.9770050048828125,,12.049999952316284
8342,1707333512.1,4.7777099609375,,12.099999904632568
8343,1707333512.15,4.578422546386719,,12.150000095367432
8344,1707333512.2,4.545204162597656,,12.200000047683716
8345,1707333512.25,4.3791351318359375,,12.25
8346,1707333512.3,4.274375915527344,,12.299999952316284
8347,1707333512.35,4.269264221191406,,12.349999904632568
8348,1707333512.4,4.3050384521484375,,12.400000095367432
8349,1707333512.45,4.3126983642578125,,12.450000047683716
8350,1707333512.5,4.3229217529296875,,12.5
8351,1707333512.55,4.330589294433594,,12.549999952316284
8352,1707333512.6,4.2309417724609375,,12.599999904632568
8353,1707333512.65,4.13385009765625,,12.650000095367432
8354,1707333512.7,4.182395935058594,,12.700000047683716
8355,1707333512.75,4.177284240722656,,12.75
8356,1707333512.8,4.087860107421875,,12.799999952316284
8357,1707333512.85,4.013763427734375,,12.849999904632568
8358,1707333512.9,3.9984359741210938,,12.900000095367432
8359,1707333512.95,3.834915161132813,,12.950000047683716
8360,1707333513.0,3.7403793334960938,,13.0
8361,1707333513.05,3.722496032714844,,13.049999952316284
8362,1707333513.1,3.7071685791015625,,13.099999904632568
8363,1707333513.15,3.699501037597656,,13.150000095367432
8364,1707333513.2,3.7122802734375,,13.200000047683716
8365,1707333513.25,3.622848510742187,,13.25
8366,1707333513.3,3.428672790527344,,13.299999952316284
8367,1707333513.35,3.1578445434570312,,13.349999904632568
8368,1707333513.4,3.1195144653320312,,13.400000095367432
8369,1707333513.45,3.1271820068359375,,13.450000047683716
8370,1707333513.5,3.147621154785156,,13.5
8371,1707333513.55,3.426116943359375,,13.549999952316284
8372,1707333513.6,3.955001831054687,,13.599999904632568
8373,1707333513.65,4.9948883056640625,,13.650000095367432
8374,1707333513.7,5.671958923339844,,13.700000047683716
8375,1707333513.75,6.553436279296875,,13.75
8376,1707333513.8,6.946907043457031,,13.799999952316284
8377,1707333513.85,7.273948669433594,,13.849999904632568
8378,1707333513.9,7.401695251464843,,13.900000095367432
8379,1707333513.95,7.360816955566406,,13.950000047683716
8380,1707333514.0,7.0363311767578125,,14.0
8381,1707333514.05,6.395027160644531,,14.049999952316284
8382,1707333514.1,6.136970520019531,,14.099999904632568
8383,1707333514.15,6.050102233886719,,14.150000095367432
8384,1707333514.2,6.019439697265625,,14.200000047683716
8385,1707333514.25,5.891693115234375,,14.25
8386,1707333514.3,5.725616455078125,,14.299999952316284
8387,1707333514.35,5.2887115478515625,,14.349999904632568
8388,1707333514.4,5.066429138183594,,14.400000095367432
8389,1707333514.45,4.923347473144531,,14.450000047683716
8390,1707333514.5,4.9029083251953125,,14.5
8391,1707333514.55,4.94378662109375,,14.549999952316284
8392,1707333514.6,4.954010009765625,,14.599999904632568
