Unnamed: 0,timestamp,cadence,gct,heart_rate,time
2,1710358784,0,0,113,0
3,1710358785,0,0,112,1
4,1710358786,0,0,112,2
5,1710358787,0,0,111,3
6,1710358788,0,0,111,4
7,1710358789,0,0,110,5
8,1710358790,0,0,110,6
9,1710358791,0,0,109,7
10,1710358792,0,0,108,8
11,1710358793,0,0,108,9
12,1710358794,0,0,108,10
13,1710358795,0,0,108,11
14,1710358796,0,0,109,12
15,1710358797,0,0,108,13
16,1710358798,0,0,108,14
17,1710358799,0,0,108,15
18,1710358800,0,0,108,16
19,1710358801,0,0,108,17
20,1710358802,0,0,108,18
21,1710358803,0,0,108,19
22,1710358804,0,0,108,20
23,1710358805,0,0,108,21
24,1710358806,0,0,108,22
25,1710358807,0,0,108,23
26,1710358808,0,0,108,24
27,1710358809,0,0,108,25
28,1710358810,0,0,108,26
29,1710358811,0,0,108,27
30,1710358812,0,0,108,28
31,1710358813,0,0,108,29
32,1710358814,0,0,108,30
33,1710358815,0,0,108,31
34,1710358816,0,0,108,32
35,1710358817,0,0,108,33
