Unnamed: 0,timestamp,cadence,gct,heart_rate,respiration_rate,time
0,1705633025,0,0,100.0,14.39,0
1,1705633026,0,0,100.0,0.0,1
2,1705633027,0,0,99.0,0.0,2
3,1705633028,0,0,97.0,0.0,3
4,1705633029,0,0,98.0,0.0,4
5,1705633030,0,0,98.0,0.0,5
6,1705633031,0,0,97.0,0.0,6
7,1705633032,0,0,98.0,0.0,7
8,1705633033,0,0,97.0,0.0,8
9,1705633034,0,0,98.0,0.0,9
10,1705633035,0,0,98.0,0.0,10
11,1705633036,0,0,98.0,0.0,11
12,1705633037,0,0,98.0,0.0,12
13,1705633038,0,0,99.0,0.0,13
14,1705633039,0,0,99.0,0.0,14
15,1705633040,0,0,100.0,0.0,15
16,1705633041,0,0,100.0,0.0,16
17,1705633042,0,0,99.0,0.0,17
18,1705633043,0,0,98.0,0.0,18
19,1705633044,0,0,98.0,0.0,19
20,1705633045,0,0,97.0,0.0,20
21,1705633046,0,0,97.0,0.0,21
22,1705633047,0,0,96.0,0.0,22
23,1705633048,0,0,95.0,0.0,23
24,1705633049,0,0,95.0,12.02,24
25,1705633050,0,0,95.0,12.02,25
26,1705633051,0,0,96.0,12.02,26
27,1705633052,0,0,96.0,12.02,27
28,1705633053,0,0,97.0,12.02,28
29,1705633054,0,0,97.0,12.02,29
