Unnamed: 0,timestamp,cadence,gct,heart_rate,time
1,1712518865,0,0,0.0,0
2,1712518866,0,0,0.0,1
3,1712518867,0,0,0.0,2
4,1712518868,0,0,0.0,3
5,1712518869,0,0,0.0,4
6,1712518870,0,0,0.0,5
7,1712518871,0,0,0.0,6
8,1712518872,0,0,0.0,7
9,1712518873,0,0,0.0,8
10,1712518874,0,0,0.0,9
11,1712518875,0,0,0.0,10
12,1712518876,0,0,0.0,11
13,1712518877,0,0,0.0,12
14,1712518878,0,0,50.0,13
15,1712518879,0,0,53.0,14
16,1712518880,0,0,55.0,15
17,1712518881,0,0,57.0,16
18,1712518882,0,0,59.0,17
19,1712518883,0,0,61.0,18
20,1712518884,0,0,67.0,19
21,1712518885,0,0,73.0,20
22,1712518886,0,0,75.0,21
23,1712518887,0,0,77.0,22
24,1712518888,0,0,79.0,23
25,1712518889,0,0,85.0,24
26,1712518890,0,0,91.0,25
27,1712518891,0,0,97.0,26
28,1712518892,0,0,103.0,27
29,1712518893,0,0,107.0,28
30,1712518894,0,0,111.0,29
31,1712518895,0,0,113.0,30
32,1712518896,0,0,114.0,31
